original name,name,category,URL,Plattform,channel name,ground_truth,OCR_ChatGPT4
"an diesem sonntag jährt sich der rassistische anschlag von hanau, bei dem am 19.02.2020 neun hanauerinnen ermordet wurden, zum dritten mal.wir trauern und erinnern und sagen ihre namen-gökhan gültekinsedat gürbüzsai.jpg",0013.jpg,noisy,https://www.instagram.com/p/Co1pGePImcQ/,Instagram,about.blank.berlin,BERLIN ORT: ORANIENPLATZ KUNDGEBUNG 19. FEB – 14 UHR ERINNERN HEISST KÄMPFEN! 3 JAHRE NACH HANAU Ferhat Unvar Gökhan Gültekin Vili-Viorel Păun Sedat Gürbüz Mercedes Kierpacz Kaloyan Velkov Said Nesar Hashemi Fatih Saraçoğlu Hamza Kenan Kurtović WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!,BERLIN ORT: ORANIENPLATZ KUNDGEBUNG 19. FEB – 14 UHR ERINNERN HEISST KÄMPFEN! 3 JAHRE NACH HANAU Ferhat Unvar Gökhan Gültekin Vili-Viorel Păun Sedat Gürbüz Mercedes Kierpacz Kaloyan Velkov Said Nesar Hashemi Fatih Saraçoğlu Hamza Kenan Kurtović WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!
"mit, 05. juli 2023 #hacksexism- broschüren-release -- ab 18-30 uhr das kollektiv my body is not your porn veröffentlicht diskursbeiträge und die ergebnisse des #hacksexism - social hackathon gegen sexismus und sexuali.jpg",0014.jpg,noisy,https://www.instagram.com/p/CuPfK3NRoul/,Instagram,about.blank.berlin,SHACK SEXISM Broschüren-Release 5. Juli 2023 ://about blank 18:30 Einlass // 19 Uhr Start Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co MBNYP,HACK SEXISM Broschüren-Release 5. Juli 2023 ://about blank 18:30 Einlass // 19 Uhr Start Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co
"Am Freitag, den 28.06. startet ab 19 Uhr unser Protestwochenendes. Unter dem Motto Bass gegen Hass werden wir mit viel Bass & gemeinsam laut gegen den AfD-Bundesparteitag in Essen auf die Straße gehen!Im Anschluss fin.jpg",0015.jpg,noisy,https://www.instagram.com/p/C8e8-s0sPug/?img_index=1,Instagram,agr_essen,"FR., 28. JUNI RAVE DEMO BASS GEGEN HASS 19 UHR, ESSEN HBF","FR., 28. JUNI RAVE DEMO BASS GEGEN HASS 19 UHR, ESSEN HBF"
"Do It Yourself #DIY- Bau einen PC oder Smartphone!Datum- 16.11.2024Uhrzeit- 11-13 UhrOrt- Mittelpunktbibliothek Treptow, Michael-Brückner-Straße 9, 12439 BerlinAlter- 7 bis 17 Jahre Du liebst Technik Dann wird’s Zeit.jpg",0016.jpg,noisy,https://www.instagram.com/p/DB1ieqnKofi/,Instagram,dojosw,WORKSHOP Do it Yourself Bau dein eigenen PC und Smartphone Wo? Mittelpunktbibliothek Treptow Wann? Samstag 16.11.2024 11 bis 13 Uhr PS: Alte/eigene Geräte können zum erforschen mitgebracht werden! Jetzt Anmelden!,WORKSHOP Do it Yourself Bau dein eigenen PC und Smartphone Wo? Mittelpunktbibliothek Treptow Wann? Samstag 16.11.2024 11 bis 13 Uhr PS: Alte/eigene Geräte können zum erforschen mitgebracht werden! Jetzt Anmelden!
𝟴.-𝟵. 𝗠𝗮𝗶 𝟮𝟬𝟮𝟭 – 𝗘𝗿𝗶𝗻𝗻𝗲𝗿𝗻 𝗵𝗲𝗶𝘀𝘀𝘁 𝗸𝗮̈𝗺𝗽𝗳𝗲𝗻𝗚𝗲𝗱𝗲𝗻𝗸𝗲𝗻 𝗮𝗻 𝗱𝗶𝗲 𝗕𝗲𝗳𝗿𝗲𝗶.jpg,0017.jpg,noisy,https://www.instagram.com/p/COgQeEeHLWR/?img_index=1,Instagram,befreiung.und.widerstand,"76 Jahre Befreiung vom Faschismus Erinnern heißt KÄMPFEN! Sa, 08.05.2021 Gedenken 10:00–18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungspunkt 14:30 Uhr Bahnsteig S-Pankow","76 Jahre Befreiung vom Faschismus Erinnern heißt KÄMPFEN! Sa, 08.05.2021 Gedenken 10:00–18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungspunkt 14:30 Uhr Bahnsteig S-Pankow"
photo_2025-04-22 11.39.30.jpeg,0018.jpeg,noisy,,Telegram,WORLD WIDE DEMO DEUTSCHLAND,KUNDGEBUNG & AUFZUG DURCH KASSEL Nein zur Impfpflicht! Ärzte sprechen Klartext! 29. JANUAR 2022 14.00 UHR KÖNIGSPLATZ KASSEL FREIE BÜRGER KASSEL FÜR FRIEDEN & FREIHEIT,KUNDGEBUNG & AUFZUG DURCH KASSEL Nein zur Impfpflicht! Ärzte sprechen Klartext! 29. JANUAR 2022 14.00 UHR KÖNIGSPLATZ KASSEL FREIE BÜRGER KASSEL
"Kommt zur antifaschistischen Rally! Sa. 15. Mai & So. 16. Mai 12 Uhr bis 16 Uhr Brennerberg mit oder ohne FahrradBekannt sind vor allem Männer die in Pankow Widerstand geleistet haben (Carl von Ossietzky, J. Gabárty od.jpg",0019.jpg,noisy,https://www.instagram.com/p/CO14TyAnaiG/?img_index=1,Instagram,befreiung.und.widerstand,antifaschistische RALLY START BRENNER-BERG ZWISCHEN 12 UND 16 UHR 15.5. 16.5.,antifaschistische RALLY START BRENNER-BERG ZWISCHEN 12 UND 16 UHR 15.5. 16.5.
"Nürnberg, 6.9.#demokratischerwiderstand #grundgesetz #nichtohneuns.jpg",0020.jpg,noisy,https://www.instagram.com/p/CEkcA6ugVQ1/,Instagram,nichtohneuns,DEMONSTRATION SONNTAG 06.09.2020 SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT! WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG. TOLLE REDNER MODERATOR (NANA LIFESTYLER) GUNNAR KAISER U.V.M IMPRESSUM: SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT (DEUTSCHLAND) ADRIANBOOKING2019@GMAIL.COM,DEMONSTRATION SONNTAG 06.09.2020 SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT! WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG. TOLLE REDNER MODERATOR (NANA LIFESTYLER) GUNNAR KAISER U.V.M IMPRESSUM: SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT (DEUTSCHLAND) ADRIANBOOKING2019@GMAIL.COM
das ---amt blank empfiehlt-demonstration 1 jahre taliban-regime - #dontforgetafghanistan - 13. august 2022 um 14 uhr - start- auswärtiges amt berlinam 15. august jährt sich in afghanistan die machtübernahme durch die .jpg,0022.jpg,noisy,https://www.instagram.com/p/ChMYDoRK1Xm/,Instagram,about.blank.berlin,"AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG 1 JAHR TALIBAN REGIME DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWÄRTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN","1 AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG 1 JAHR TALIBAN REGIME DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWÄRTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN"
#nichtohneuns Biberach 9. Mai.jpg,0023.jpg,noisy,https://www.instagram.com/p/B_7Lu13nMP-/,Instagram,nichtohneuns,09. Mai 15.30 Uhr Biberach Gigelberg angemeldete DEMO Wahrung der Grundrechte freie Impfentscheidung Art.1: Die Würde des Menschen ist unantastbar... Art.2: Die Freiheit der Person ist unverletzlich... Art.5: Eine Zensur findet nicht statt... WICHTIG bitte Mindestabstand einhalten sonst könnte die Veranstaltung aufgelöst werden PIC COLLAGE,09. Mai 15.30 Uhr Biberach Gigelberg angemeldete DEMO Wahrung der Grundrechte freie Impfentscheidung Art.1: Die Würde des Menschen ist unantastbar... Art.2: Die Freiheit der Person ist unverletzlich... Art.5: Eine Zensur findet nicht statt... WICHTIG bitte Mindestabstand einhalten sonst könnte die Veranstaltung aufgelöst werden
"14.02. ab 16-00 Uhr auf dem #Marktplatz Hanau #Tanz mit#Let´s dance-#OneBillionRising ist eine weltweite #Kampagne, die für ein Ende der #Gewalt gegen #Frauen und #Mädchen und für #Gleichstellung eintritt. Am #14. Fe.jpg",0024.jpg,noisy,https://www.instagram.com/p/BQfFiInjBaH/,Instagram,stadt_hanau,"ONE BILLION RISING HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14. Februar, 16 Uhr Marktplatz Macht mit! Tanzt mit! 2017 ONE BILLION RISING HANAU Schirmherr: Claus Kaminsky Oberbürgermeister Eine weltweite Aktion gegen Gewalt an Frauen","ONE BILLION RISING HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14. Februar, 16 Uhr Marktplatz Macht mit! Tanzt mit! 2017 ONE BILLION RISING HANAU Schirmherr: Claus Kaminsky Oberbürgermeister Eine weltweite Aktion gegen Gewalt an Frauen"
"Die Lila Welle macht Halt in Zwickau! Erst am Wochenende hat Bautzen gezeigt, dass wir in Sachsen gemeinsam laut sein müssen. Wir lassen uns nicht von Nazis und Schläger-Trupps einschüchtern. Zwickau, Hauptbahnhof 17..jpg",0025.jpg,noisy,https://www.instagram.com/p/C-k1p0bqTjq/?img_index=1,Instagram,aufstehen_gegen_rassismus,Noch drei Wochen bis zu den Landtagswahlen. IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK! +++ SA 17.08. 13:30 Uhr Hauptbahnhof +++ SACHSEN UNTERSTÜTZEN. STOPPT DIE AfD,Noch drei Wochen bis zu den Landtagswahlen. IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK! +++ SA 17.08. 13:30 Uhr Hauptbahnhof +++ SACHSEN UNTERSTÜTZEN. STOPPT DIE AfD
"sun july 21st 2024 kultur & strasse festival -- 13-00 das festival für kulturelle teilhabe, über soziale grenzen hinweg- kultur & strasse mit konzerten, jams und nahrung für leib und seele in unserem garten für alle .jpg",0026.jpg,noisy,https://www.instagram.com/p/C9m8jXnOOit/?img_index=1,Instagram,about.blank.berlin,Kultur & Strasse FESTIVAL About Blank Berlin 21. Juli 2024 13:00 – 22:00 Uhr EINTRITT FREI,Kultur & Strasse FESTIVAL About Blank Berlin 27 Juli 2024 13:00 – 22:00 Uhr EINTRITT FREI
"zubringerdemo nicht verpassen ! um 14 uhr vom invalidenpark gemeinsam zur a100 wegbassen demo radeln. für eine nachhaltige verkehrswende bassen wir am 02.09. nicht nur die a100 auf dem markgrafendamm weg, sondern treten.jpg",0027.jpg,noisy,https://www.instagram.com/p/CwFjtigMXkk/,Instagram,about.blank.berlin,"A100 WEGBASSEN! FAHRRADDEMO gegen die A100 vom Verkehrsministerium zu ""A100 wegbassen"" am Ostkreuz 2.9. um 14 Uhr Invalidenpark","A100 WEGBASSEN! FAHRRADDEMO gegen die A100 vom Verkehrsministerium zu ""A100 wegbassen"" am Ostkreuz 2.9. um 14 Uhr Invalidenpark"
"#nichtohneuns #demokratischerwiderstand #grundgesetz Dresden, June 20..jpg",0028.jpg,noisy,https://www.instagram.com/p/CBeXqbXnGXC/,Instagram,nichtohneuns,"CORONA IST NICHT DAS PROBLEM KUNDGEBUNG EINE WIRTSCHAFTSKRISE? Dresden, Neumarkt, 20.6. um 16.30 Uhr -nichtohneuns_Dresden ET Video & Content","CORONA IST NICHT DAS PROBLEM KUNDGEBUNG EINE WIRTSCHAFTSKRISE? Dresden, Neumarkt, 20.6. um 16.30 Uhr -nichtohneuns_Dresden ET Video & Content"
keine zukunft ohne zukunft - laskerkiez statt ostkreuz campus - kiezdemo und kundgebung 13.11.2021 ab 13 uhr rudolfplatzdas subkulturelle projekt zukunft am ostkreuz ist akut bedroht - dem gesamten laskerkiez droht die v.jpg,0029.jpg,noisy,https://www.instagram.com/p/CWNZnitoDed/,Instagram,about.blank.berlin,"Zukunft am Ostkreuz, Laskerstraße 5, 10245 Berlin Keine Zukunft fürs Ostkreuz Ohne Zukunft am Ostkreuz Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22 13.11. Kiezdemo und Kundgebung 13 Uhr Rudolfplatz 3.12. Aktionstag Zukunft Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin.","Zukunft am Ostkreuz, Laskerstraße 5, 10245 Berlin Keine Zukunft fürs Ostkreuz Ohne Zukunft am Ostkreuz Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22 13.11. Kiezdemo und Kundgebung 13 Uhr Rudolfplatz 3.12. Aktionstag Zukunft Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin."
"Dresden, June 13. #nichtohneuns #demokratischerwiderstand #grundgesetz.jpg",0030.jpg,noisy,https://www.instagram.com/p/CBOkdsBnsMQ/,Instagram,nichtohneuns,"SCHLUSS MIT CORONA! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG GENUG MIT DER ANGST! Dresden, Neumarkt, 13.6. um 16.30 Uhr","SCHLUSS MIT CORONA! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG GENUG MIT DER ANGST! Dresden, Neumarkt, 13.6. um 16.30 Uhr"
"das ---amt blank empfiehlt-köpi-wagenplatz verteidigen - köpi bleibt risikokapitaltechnopunk-demo gegen unhaltbare zustände - donnerstag, 14. oktober 18 uhr hermannplatzhttps---kopibleibt.noblogs.org.jpg",0031.jpg,noisy,https://www.instagram.com/p/CVAh6dyqqkx/,Instagram,about.blank.berlin,TECHNOPUNK GEGEN UNHALTBARE ZUSTÄNDE 14.10.2021 DEMO 18 UHR HERMANNPLATZ FAHRRAD-DEMO 20 UHR SCHILLINGBRÜCKE #køpibleibt,TECHNOPUNK GEGEN UNHALTBARE ZUSTÄNDE 14.10.2021 DEMO 18 UHR HERMANNPLATZ FAHRRAD-DEMO 20 UHR SCHILLINGBRÜCKE #køpibleibt
"von Leben ohne UHRteilen. Uhren neu erfinden mit Designer Daniel Carrion! 16. & 18.01.25 -- 15 - 18 Uhr -- 10,- EUR -- NEUUhren sind überall, aber irgendwie scheint die Zeit immer knapp zu sein. Deshalb landen sie oft.jpg",0032.jpg,noisy,https://www.instagram.com/p/DErzzq_J7SV/?img_index=1,Instagram,nochmall,"WORKSHOP EINFÜHRUNG DADAISMUS Von der Uhr zur Kunst 16.01. & 18.01.2025 // 15 – 18:00 Uhr Mit Daniel Carrion Teilnahme: 10,- EUR NOCHMALL.DE/EVENTS/ Powered by BSR","WORKSHOP EINFÜHRUNG DADAISMUS Von der Uhr zur Kunst 16.01. & 18.01.2025 // 15 – 18:00 Uhr Mit Daniel Carrion Teilnahme: 10,- EUR NOCHMALL.DE/EVENTS/ Powered by BSR"
"15. Fürstenfelder Salvator 17.02.2024 - Das Starkbierfest mit Stefan Kröll, Kapelle So&So und Alice Köfer Beim beliebten „Fürstenfelder Salvator“ wird der Brucker Lokalprominenz gehörig der Kopf gewaschen. Neue .jpg",0035.jpg,fancy,https://www.instagram.com/p/C2RdZGIIyYw/?img_index=1,Instagram,veranstaltungsforumffb,FÜRSTENFELDER Salvator Neue Zähne beißen gut: Krügelredner Stefan KRÖLL! Das Starkbierfest 17.02.2024 - 20.00 Uhr,FÜRSTENFELDER Salvator Neue Zähne beißen gut: Krügelredner Stefan KRÖLL! Das Starkbierfest 17.02.2024 - 20.00 Uhr
"Am #freitag haben die @limitedboozeboys ein #termin . Sollten wir aber nicht weiter sagen, deshalb machen wir das auch nicht. Also wer Lust auf gute #musik hat und eine geile #Party erleben will fährt dann nach #hartha .jpg",0036.jpg,fancy,https://www.instagram.com/p/DBc4mPlKGCX/,Instagram,konzerteundfestivals,Limited Booze Boys FREITAG ab 19:00 Party + Live Band 21. STOCK CAR RENNEN HARTHA RENNSTRECKE HEEGWEG Betreutes Trinken LETZTES WE IM OKTOBER VERDÄCHTIG GUTE EVENTS 03 431 - 611 367,Limited Booze Boys FREITAG ab 19:00 Party + Live Band 21. STOCK CAR RENNEN HARTHA RENNSTRECKE HEEGWEG Betreutes Trinken LETZTES WE IM OKTOBER VERDÄCHTIG GUTE EVENTS 03 431 - 611 367
_______Free all Antifas! Free Nanuk!Keine Auslieferung von Antifas nach Ungarn!Heraus zum Tag des politischen GefangenenDemo zum Knast-18. März 2025 - Berlin19 Uhr - U-Bhf Turmstr. (Moabit)Infos- freenanuk.noblogs.orgS.webp,0037.jpeg,fancy,https://www.instagram.com/p/DG6EMX8tKFr/?img_index=1,Instagram,demo.ticker.berlin,FREE ALL ANTIFAS! FREIHEIT FÜR NANUK! KEINE AUSLIEFERUNG VON ANTIFAS NACH UNGARN! 18. MÄRZ 19 UHR | U-BHF TURMSTR | DEMO FREENANUK.NOBLOGS.ORG | BASC.NEWS,FREE ALL ANTIFAS! FREIHEIT FÜR NANUK! KEINE AUSLIEFERUNG VON ANTIFAS NACH UNGARN! 18. MÄRZ 19 UHR | U-BHF TÜRKMSTR | DEMO freenanuk.noblogs.org | basso.news
_______Freiheit für Nanuk und alle Antifaschistinnen!Keine Auslieferung von Antifas nach Ungarn!Heraus zum Tag des politischen GefangenenDemo zum Knast18. März 2025 - Berlin19 Uhr - U-Bhf TurmstrInfos- freenanuk.noblo.webp,0039.jpeg,fancy,https://www.instagram.com/p/DHBBPW_tNY6/,Instagram,antifanordost,VOM STAAT VERKNACKT UND TROTZDEM DA FREE ALL ANTIFA #FREE NANUK TAG DER POLITISCHEN GEFANGENEN DEMO BERLIN 18.03.25 19⁰⁰ U-BHF. TURMSTR.,VOM STAAT VERKNACHT UND TROTZDEM DA FREE ALL ANTIFA #FREE NANUK TAG DER POLITISCHEN GEFANGENEN DEMO BERLIN 18.03.25 19⁰⁰ U-BHF. TURMSTR.
photo_2025-04-22 11.47.11.jpeg,0040.jpeg,fancy,,Telegram,Konzerte Leipzig/Halle,"SOLI-FESTIVAL 1. März 2025, 12 - 0 Uhr UNSERE STIMMEN SOLL MAN HÖREN! Mühlstrasse 14 e.V. Soziokulturelles Stadtteilzentrum Leipzig AMNESTY INTERNATIONAL","SOLI-FESTIVAL 1. März 2025, 12 - 0 Uhr UNSERE STIMMEN SOLL MAN HÖREN! Mühlstrasse 14 e.V. Soziokulturelles Stadtteilzentrum Leipzig AMNESTY INTERNATIONAL"
HEUTE ABEND PODIUM UND KINOFILM ZUM RUMBLE IN THE JUNGLEIn der Nacht vom 29. auf den 30. Oktober jährt sich der Rumble in the Jungle zum fünfzigsten Mal. Der Schwergewichtsboxkampf George Foreman vs. Muhammad Ali in .jpg,0041.jpg,fancy,https://www.instagram.com/p/DCy_arUsWSw/,Instagram,about.blank.berlin,"50 JAHRE RUMBLE IN THE JUNGLE Podium: Martin Krauß (Sportjournalist, taz) Dr. Michela Wrong (britische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin","50 JAHRE RUMBLE IN THE JUNGLE Podium: Martin Krauß (Sportjournalist, taz) Dr. Michela Wrong (britische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin"
