file_name,category,ground_truth,ocr_tesseract,similarity,normalized_ocr_tesseract,similarity02,char_accuracy02,char_accuracy,word_accuracy,word_accuracy02
0013.jpg,noisy,BERLIN ORT: ORANIENPLATZ KUNDGEBUNG 19. FEB – 14 UHR ERINNERN HEISST KÄMPFEN! 3 JAHRE NACH HANAU Ferhat Unvar · Gökhan Gültekin · Vili-Viorel Păun · Sedat Gürbüz · Mercedes Kierpacz · Kaloyan Velkov · Said Nesar Hashemi · Fatih Saraçoğlu · Hamza Kenan Kurtović WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!,"BERLIN oer: oranıeNPLATZ

19.FEB - 14 UHR

ERINNERN HEISST KÄMPFEN!

WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN!
RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKAMPFEN!

E A

WE B l T mi ] ®",0.0,BERLIN oer: oranıeNPLATZ 19.FEB - 14 UHR ERINNERN HEISST KÄMPFEN! WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKAMPFEN! E A WE B l T mi ] ®,0.0,0.3825136612021858,0.36338797814207646,0.017857142857142856,0.017857142857142856
0014.jpg,noisy,HACK SEXISM Broschüren-Release 5. Juli 2023 ://about blank 18:30 Einlass // 19 Uhr Start Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co MBI NYP,,0.0,,0.0,0.0,0.0,0.0,0.0
0015.jpg,noisy,"FR., 28. JUNI RAVE DEMO BASS GEGEN HASS 19 UHR, ESSEN HBF","[FR., 28. JUNI [

—19 UHR,
SSSEN He:s",0.0,"[FR., 28. JUNI [ —19 UHR, SSSEN He:s",0.0,0.4736842105263158,0.4385964912280702,0.16666666666666666,0.16666666666666666
0016.jpg,noisy,WORKSHOP Do it Yourself Bau dein eigenen PC und Smartphone Wo? Mittelpunktbibliothek Treptow Wann? Samstag 16.11.2024 *11 bis 13 Uhr Jetzt Anmelden! PS: Alte/eigene Geräte können zum erforschen mitgebracht werden!,"Bau dein eigenen PC und Smartphone

Wo?
? Mittelpunktbibliothek Treptow
PS: Alte/eigene Geräte können
Wann? ;
zum erforschen mitgebracht
O samstag 16.11.2024

. werden!
*11 bis 13 Uhr",0.0,Bau dein eigenen PC und Smartphone Wo? ? Mittelpunktbibliothek Treptow PS: Alte/eigene Geräte können Wann? ; zum erforschen mitgebracht O samstag 16.11.2024 . werden! *11 bis 13 Uhr,0.0,0.39906103286384975,0.3802816901408451,0.0,0.0
0017.jpg,noisy,"76 Jahre Befreiung vom Faschismus Erinnern heißt KÄMPFEN! Sa, 08.05.2021 Gedenken 10:00–18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungspunkt 14:30 Uhr Bahnsteig S-Pankow","78 Ian

— Befreiung vom Fasch]H'nus
TE ‚x heifst
ER

Sa, 08.05.2021
Gedenken 10:00-18:00 Uhr
Sowjetisches Ehrenmahl Buch
Kundgebung 15:00 Uhr

Vortreffungpunkt 14:30 Uhr
Bahnsteig S-Pankow L",0.0,"78 Ian — Befreiung vom Fasch]H'nus TE ‚x heifst ER Sa, 08.05.2021 Gedenken 10:00-18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungpunkt 14:30 Uhr Bahnsteig S-Pankow L",0.0,0.844559585492228,0.7927461139896373,0.0,0.0
0018.jpeg,noisy,KUNDGEBUNG & AUFZUG DURCH KASSEL Nein zur Impfpflicht! Ärzte sprechen Klartext! 29. JANUAR 2022 14.00 UHR KÖNIGSPLATZ KASSEL FREIE BÜRGER KASSEL FÜR FRIEDEN & FREIHEIT,"A-  nlmpfpfhcht'
Arzte sprechen Klartext'
€ 4 29 JANÜA,R 2[pzz "";—‘f;‚_'x?_j

70 U HR K
. kONIGSPLNTZ KASSEL

‘$

\",0.0,"A- nlmpfpfhcht' Arzte sprechen Klartext' € 4 29 JANÜA,R 2[pzz "";—‘f;‚_'x?_j 70 U HR K . kONIGSPLNTZ KASSEL ‘$ \",0.0,0.3173652694610778,0.29940119760479045,0.04,0.04
0019.jpg,noisy,antifaschistische RALLY START BRENNER-BERG ZWISCHEN 12 UND 16 UHR 15.5. 16.5.,"i
antirfaschistisch c

RALLY ”

Zukun",0.0,i antirfaschistisch c RALLY ” Zukun,0.0,0.2727272727272727,0.23376623376623373,0.0,0.0
0020.jpg,noisy,DEMONSTRATION SONNTAG 06.09.2020 SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT! WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG. TOLLE REDNER MODERATOR (NANA LIFESTYLER) GUNNAR KAISER U.V.M. IMPRESSUM: SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT (DEUTSCHLAND) ADRIANBOOKING2019@GMAIL.COM,"DEMONSTRATION

SONNTAG 0F@19.2020;

1, S M
SCHÜLER/-IN GEN
DIE MASKENPFLICHT!._ _
WANN: 15:30 UHR
WO: MEISTERSINGERHALLE

NÜRNBERG
S
TULLEHEDNER N “““Y9*

MODERATOR
(NANA LIFESTYLER)
IMPRESSUM:SCHÜLER/-INNEN/GEGEN]DIE MASKENPFLICHT, [nzurscnuun]
an / |fall;\ﬂlL""ül«?'L",0.0,"DEMONSTRATION SONNTAG 0F@19.2020; 1, S M SCHÜLER/-IN GEN DIE MASKENPFLICHT!._ _ WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG S TULLEHEDNER N “““Y9* MODERATOR (NANA LIFESTYLER) IMPRESSUM:SCHÜLER/-INNEN/GEGEN]DIE MASKENPFLICHT, [nzurscnuun] an / |fall;\ﬂlL""ül«?'L",0.0,0.6436363636363636,0.6,0.07142857142857142,0.07142857142857142
0022.jpg,noisy,"AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG 1 JAHR TALIBAN REGIME DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWÄRTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN","AKTION RESISTENZ FRUSTRATION
GEMEINSAMKEIT WIDERSTAND HOFFNUNG
AUFSCHREI BESTÄRKUNG NETZWERK

ISOLATION RESILIENZ SOLIDARITÄT
TRAUER FLUCHT AUSBEUTUNG NEUANFANG

JAHR

TALIBAN
REG

DEMO: SAMSTAG, 13.08.2022
14.00 UHR, AUSWARTIGES AMT
PROTEST CAMP BERLIN
13.08.2022 — 15.08.2022

WORKSHOPS PERFORMANCES REDEBEITRÄGE

#DONTFORGETAFGHANISTAN",0.0,"AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG JAHR TALIBAN REG DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWARTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN",0.0,0.9821958456973294,0.9317507418397626,0.43243243243243246,0.43243243243243246
0023.jpg,noisy,09. Mai 15.30 Uhr Biberach Gigelberg angemeldete DEMO Wahrung der Grundrechte freie Impfentscheidung Art.1: Die Würde des Menschen ist unantastbar.... Art.2: Die Freiheit der Person ist unverletzlich... Art.5: Eine Zensur findet nicht statt... WICHTIG bitte Mindestabstand einhalten sonst könnte die Veranstaltung aufgelöst werden,"15.30 Uhr Biberach Gigelberg \
angemeldete DEMO __
Wahrung der Grundrechte *—
freie Impfentscheidung

Ar
nn © / WICHTIG
indestabstand einhalten

PIC-COLLAGE",0.0,15.30 Uhr Biberach Gigelberg \ angemeldete DEMO __ Wahrung der Grundrechte *— freie Impfentscheidung Ar nn © / WICHTIG indestabstand einhalten PIC-COLLAGE,0.0,0.3787878787878788,0.3666666666666667,0.06976744186046512,0.06976744186046512
0024.jpg,noisy,"ONE BILLION RISING HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14. Februar, 16 Uhr Marktplatz Macht mit! Tanzt mit! 2017 ONE BILLION RISING HANAU onebillionrising.org onebillionrising.de Schirmherr: Claus Kaminsky Oberbürgermeister Eine weltweite Aktion gegen Gewalt an Frauen","UNE DILLIUN NISJINUG

HANAU

Weltweit tanzen an diesem Tag Menschen
gegen Gewalt an Frauen

14.Februar, 16 Uhr
Marktplatz 3n

® F
weltweite
® . Aktion

ONE BILLION RISING gegen Gewalt
Schirmherr: Claus Kamin . . an Frauen",0.0,"UNE DILLIUN NISJINUG HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14.Februar, 16 Uhr Marktplatz 3n ® F weltweite ® . Aktion ONE BILLION RISING gegen Gewalt Schirmherr: Claus Kamin . . an Frauen",0.0,0.5766666666666667,0.54,0.3170731707317073,0.3170731707317073
0025.jpg,noisy,Noch drei Wochen bis zu den Landtagswahlen. IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK! +++ SA 17.08. 13:30 Uhr Hauptbahnhof +++ SACHSEN UNTERSTÜTZEN. STOPPT DIE AfD,,0.0,,0.0,0.0,0.0,0.0,0.0
0026.jpg,noisy,Kultur & Strasse FESTIVAL About Blank Berlin 21. Juli 2024 13:00 – 22:00 Uhr EINTRITT FREI!,,0.0,,0.0,0.0,0.0,0.0,0.0
0027.jpg,noisy,"A100 WEGBASSEN! FAHRRADDEMO gegen die A100 vom Verkehrsministerium zu ""A100 wegbassen"" am Ostkreuz 2.9. um 14 Uhr Invalidenpark",,0.0,,0.0,0.0,0.0,0.0,0.0
0028.jpg,noisy,"CORONA IST NICHT DAS PROBLEM nichtohneuns_Dresden ET Video & Content KUNDGEBUNG EINE WIRTSCHAFTSKRISE? Dresden, Neumarkt, 20.6. um 16.30 Uhr","tJlmeims Dresd L

KUNDGEBUNG",0.0,tJlmeims Dresd L KUNDGEBUNG,0.0,0.1428571428571429,0.13571428571428568,0.0,0.0
0029.jpg,noisy,"Zukunft am Ostkreuz, Laskerstraße 5, 10245 Berlin Keine Zukunft fürs Ostkreuz Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22 Ohne Zukunft am Ostkreuz 13.11. Kiezdemo und Kundgebung 13 Uhr Rudolfplatz 3.12. Aktionstag Zukunft Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin.","luuunh am

— Keiuie
Zukunfrt

fürs Ostkreuz

DE die

K fgung der
Eunft am
DStkreuz zum
81.03.22

am Ostkreuz

13.11. Kiezdemo und.Kundgebung
13 Uhr Rudolfplatz‘
SAg Zukung

D ige Sicherung f
S henräumen -
A anz Berlin.",0.0,luuunh am — Keiuie Zukunfrt fürs Ostkreuz DE die K fgung der Eunft am DStkreuz zum 81.03.22 am Ostkreuz 13.11. Kiezdemo und.Kundgebung 13 Uhr Rudolfplatz‘ SAg Zukung D ige Sicherung f S henräumen - A anz Berlin.,0.0,0.5505952380952381,0.5,0.020833333333333332,0.020833333333333332
0030.jpg,noisy,"SCHLUSS MIT CORONA! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG GENUG MIT DER ANGST! Dresden, Neumarkt, 13.6. um 16.30 Uhr","Dresden, Neumarkt‚ 13 6 um 16. 30 Uhr‘",0.0,"Dresden, Neumarkt‚ 13 6 um 16. 30 Uhr‘",0.0,0.24806201550387597,0.24806201550387597,0.0,0.0
0031.jpg,noisy,TECHNOPUNK GEGEN UNHALTBARE ZUSTÄNDE 14.10.2021 DEMO 18 UHR HERMANNPLATZ FAHRRAD-DEMO 20 UHR SCHILLINGBRÜCKE #køpibleibt,"TECHNOPUNK GEGENE. 4

UNHA!TRARE ZUSTÄNDE”
20 UHR SCHILLNGBRÜCKE.

#Kepibleibt",0.0,TECHNOPUNK GEGENE. 4 UNHA!TRARE ZUSTÄNDE” 20 UHR SCHILLNGBRÜCKE. #Kepibleibt,0.0,0.5083333333333333,0.475,0.07142857142857142,0.07142857142857142
0032.jpg,noisy,"WORKSHOP EINFÜHRUNG DADAISMUS Von der Uhr zur Kunst 16.01. & 18.01.2025 // 15 - 18:00 Uhr Mit Daniel Carrion Teilnahme: 10,- EUR NOCHMALL.DE/EVENTS/ Powered by BSR","EINFÜHRUNG

DAIAISMUS",0.0,EINFÜHRUNG DAIAISMUS,0.0,0.1165644171779141,0.10429447852760731,0.0,0.0
0035.jpg,fancy,FÜRSTENFELDER Salvator Neue Zähne beißen gut: Krügelredner Stefan KRÖLL! Das Starkbierfest 17.02.2024 - 20.00 Uhr,"— FÜRSTENFELDER —
@ß

”e„e Z..
5 0/)„
w helBen Ut:
rll_qe/,ed„e A

r
KRÖLL ‚S' Jan

„ _ Das Starkbierfest
17.02.2024 - 20.00 Uhr

\",0.0,"— FÜRSTENFELDER — @ß ”e„e Z.. 5 0/)„ w helBen Ut: rll_qe/,ed„e A r KRÖLL ‚S' Jan „ _ Das Starkbierfest 17.02.2024 - 20.00 Uhr \",0.0,0.504424778761062,0.4513274336283186,0.0,0.0
0036.jpg,fancy,Limited Booze Boys FREITAG ab 19:00 Party + Live Band 21. STOCK CAR RENNEN HARTHA RENNSTRECKE HEEGWEG Betreutes Trinken LETZTES WE IM OKTOBER VERDÄCHTIG GUTE EVENTS 03 431 - 611 367,,0.0,,0.0,0.0,0.0,0.0,0.0
0037.jpeg,fancy,FREE ALL ANTIFAS! FREIHEIT FÜR NANUK! KEINE AUSLIEFERUNG VON ANTIFAS NACH UNGARN! 18. MÄRZ 19 UHR | U-BHF TURMSTR | DEMO FREENANUK.NOBLOGS.ORG | BASG.NEWS,,0.0,,0.0,0.0,0.0,0.0,0.0
0039.jpeg,fancy,VOM STAAT VERKNACKT UND TROTZDEM DA FREE ALL ANTIFA #FREE NANUK TAG DER POLITISCHEN GEFANGENEN DEMO BERLIN 18.03.25 | 19⁰⁰ U-BHF. TURMSTR.,"A
7F HA
1.&n [ '-I„

(

n.u.H.. Ää'.

A

H!!

- _.r.„_m.

-l.l— x\ n S

H\‘nh\ Y— — p |..u Y
a ß
LL A

""it

wu.lﬂl Ä:

LL
-“

DEMO R

* TAG DER *
POLITISCHEN
GEFANGENEN

——

s",0.0,"A 7F HA 1.&n [ '-I„ ( n.u.H.. Ää'. A H!! - _.r.„_m. -l.l— x\ n S H\‘nh\ Y— — p |..u Y a ß LL A ""it wu.lﬂl Ä: LL -“ DEMO R * TAG DER * POLITISCHEN GEFANGENEN —— s",0.0,-0.021739130434782705,-0.1376811594202898,0.0,0.0
0040.jpeg,fancy,"SOLI-FESTIVAL 1. März 2025, 12 - 0 Uhr UNSERE STIMMEN SOLL MAN HÖREN! Mühlstrasse 14 e.V. Soziokulturelles Stadtteilzentrum Leipzig AMNESTY INTERNATIONAL","SOLI-FESTIVAL

1. März 2025‚

UNSERE
SOLL MAN
HÖREN/

r
{ %
W A

e",0.0,SOLI-FESTIVAL 1. März 2025‚ UNSERE SOLL MAN HÖREN/ r { % W A e,0.0,0.36601307189542487,0.30718954248366015,0.14285714285714285,0.14285714285714285
0041.jpg,fancy,"50 JAHRE RUMBLE IN THE JUNGLE Podium: Martin Krauß (Sportjournalist, taz) Dr. Michela Wrong (britische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin","50 JAHRE RUMDLE IN THE JUNGLE
— ] Podium:

| Martin Krauß

{Sportjoumalist, taz)

| Dr. Michela Wrong

| _ (eritische Journalistin)
Fabian Kunow

(Moderation)

Film: When we were Kings (1997)

Mo., 25. Nov., 19 Uhr
://about blank
Markgrafendamm 24c, 10245 Berlin",0.0,"50 JAHRE RUMDLE IN THE JUNGLE — ] Podium: | Martin Krauß {Sportjoumalist, taz) | Dr. Michela Wrong | _ (eritische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin",0.0,0.930327868852459,0.8729508196721312,0.1388888888888889,0.1388888888888889
0043.jpg,fancy,STABIL BLEIBEN UND MASSENHAFT WIDERSETZEN! LIVE DABEI: ★ ZSK ★ UND WEITERE ACTS! • 11. JANUAR 2025 • ALLE NACH RIESA • KUNDGEBUNG GEGEN AFD-PARTEITAG!,"STABIL
3LEIBEN

MARSSENHAFT WIDERSETZEN!

UuND

“ UND WEITERE ACTS!

O al — _

- 11. JANUAR 2025 ° ALLE NACH RIESA °",0.0,STABIL 3LEIBEN MARSSENHAFT WIDERSETZEN! UuND “ UND WEITERE ACTS! O al — _ - 11. JANUAR 2025 ° ALLE NACH RIESA °,0.0,0.5533333333333333,0.5133333333333333,0.28,0.28
0044.jpg,fancy,NICHT OHNE UNS! DORTMUND jeden Samstag 14:30 Uhr - Willy-Brandt-Platz UNSERE DEMOKRATIE IST INFIZIERT! antikörper JETZT!,"NICHT OHNE UNS! DORTMUND

jeden Samstag 14:30 Uhr - Willy-Brandt-Platz",0.0,NICHT OHNE UNS! DORTMUND jeden Samstag 14:30 Uhr - Willy-Brandt-Platz,0.0,0.575,0.5583333333333333,0.625,0.625
0045.jpeg,fancy,ACHTUNG NEUE VERSAMMLUNGSFLÄCHE! GROSSDEMO KASSEL Frühlingserwachen – Die Welt steht auf! „Wir werden ALLE da sein!“ KARLSWIESE / ORANGERIE KASSEL WELTWEIT – ALLE ZUSAMMEN 1 TAG – 1 ZIEL WELTWEIT – ALLE ZUSAMMEN IN DER MITTE DEUTSCHLANDS 20.03.2021 12:00 – 16:00 UHR MIT ANSCHLIESSENDEM AUFZUG LIVESTREAMS AUS ALLER WELT #Zusammenhalt statt Spaltung,"GROSSDEMO
„.«« 5 KASSEL -

v’:mmlmj5a/ Wwachen -

Die Well slcht auf!
KARLSWIESE / ORANGERIE KASSEL

WELTWEIT - ALLE ZUSAMMEN

1TAG - 1ZIEL
WELTWEIT - ALLE ZUSAMMEN

IN DER MITTE DEUTSCHLANDS
20.03.2021

„ 12:00 - 16 00 UHR

l/|‚$

4Q k &q -
&R Ms “""‘",0.0,"GROSSDEMO „.«« 5 KASSEL - v’:mmlmj5a/ Wwachen - Die Well slcht auf! KARLSWIESE / ORANGERIE KASSEL WELTWEIT - ALLE ZUSAMMEN 1TAG - 1ZIEL WELTWEIT - ALLE ZUSAMMEN IN DER MITTE DEUTSCHLANDS 20.03.2021 „ 12:00 - 16 00 UHR l/|‚$ 4Q k &q - &R Ms “""‘",0.0,0.5243553008595989,0.48137535816618915,0.0,0.0
0046.jpeg,fancy,h48 Plötzlich Meerjungmensch Die beste (nicht)Karnevals-Kostüm Party Berlins 01. März 2025 AB 20 UHR PROJEKTRAUM HERMANNSTRABE 48 LINE UP DJ KETCHUP (SPICY BASS / BREAKBEAT) DJ TDIPPZ (HAPPY HARDCORE) + KOSTÜMWETTBEWERB + PARTYSPIELE *VERKLEIDUNG ERWÜNSCHT. EGAL WAS!*,"&01. MÄRZ 2025

Xx

AR Z0OUHR LINE U®
[ ‘ KETOHUP
4 (M‘ITN""WT)
PROJSKTRAUM 9 d
HERMANNNTRARE 43 an -
„PARTYBTIELG

AYZKLZIDUNG SiNÜNGSGT, Z6AL WAY",0.0,"&01. MÄRZ 2025 Xx AR Z0OUHR LINE U® [ ‘ KETOHUP 4 (M‘ITN""WT) PROJSKTRAUM 9 d HERMANNNTRARE 43 an - „PARTYBTIELG AYZKLZIDUNG SiNÜNGSGT, Z6AL WAY",0.0,0.26119402985074625,0.23880597014925375,0.0,0.0
0047.jpg,fancy,"15 JAHRE JUBILÄUMSSHOW GOITZSCHE FRONT WILLKUER Berserker Berlin UBER EATS MUSIC HALL BERLIN, 28.09.2024 EINLASS: 18.30 UHR","N Bers erkex
? erlin
UBER EATS MUSIG HALL
äBERLIN‚ 28.08.20E |

EINLASS: 18.30 UHR 7 }",0.0,N Bers erkex ? erlin UBER EATS MUSIG HALL äBERLIN‚ 28.08.20E | EINLASS: 18.30 UHR 7 },0.0,0.5040650406504066,0.46341463414634143,0.0,0.0
0049.jpg,fancy,"Rock'n'Roll Silvester BOPPIN'B Manu Tanzratte LEE'S REVENGE Silvester- & Wunschfeuer auf der Terrasse Killer Kirsche copper and blonde Di. 31.12.2024 Beginn 20:30 Uhr (Einlass 20 Uhr) Eintritt: 25 € + VVK | Späteinlass (ab 22:30 Uhr, nur Abendkasse): 15 € Bürgerhaus Dreieich Fichtestr. 50 | 63303 Dreieich","Di. 3112.2024 —

Beginn 20:30 Uhr (Einlass 20 Uhn)

Eintritt: 25 € + VVG | Späteinlass (albı 22:30 Uhr, nur Abendkasse): 15 €

Bürgerhaus Dreieich X<

Fichtestr. 50 | 63303 Dreieich DREIEICH",0.0,"Di. 3112.2024 — Beginn 20:30 Uhr (Einlass 20 Uhn) Eintritt: 25 € + VVG | Späteinlass (albı 22:30 Uhr, nur Abendkasse): 15 € Bürgerhaus Dreieich X< Fichtestr. 50 | 63303 Dreieich DREIEICH",0.0,0.49673202614379086,0.4771241830065359,0.0,0.0
