image,groundtruth_text,ocr_text,CER,WER
0029.jpg,"Zukunft am Ostkreuz, Laskerstraße 5, 10245 Berlin Keine Zukunft fürs Ostkreuz Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22 Ohne Zukunft am Ostkreuz 13.11. Kiezdemo und Kundgebung 13 Uhr Rudolfplatz 3.12. Aktionstag Zukunft Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin.","Ostwreuz Keine Zukunft fürs Ostkreuz Gegenidie Zukunit am @hne Zukunft am Ostkreuz 13,71 Kiezdemo und Kundgebung 3.12. Aktionstag Zukuntt Für Ernalt uund langfrisiige Sicherung Ostkreuz und ganz Berlin 13,71. Kiezdemo und Kundgebung 13 Uhr Rudolfplatz Laskerstealie 5, 81.03.22 die 13716 Kiezdemo un Kundgebung Berlin: ganz zum am Sealie 5, der 3.12. Aktionstag Zukunft Für Erhalt und langfristigc Sichcrung am Ostkreuz",0.8274,1.0417
0030.jpg,"SCHLUSS MIT CORONA! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG GENUG MIT DER ANGST! Dresden, Neumarkt, 13.6. um 16.30 Uhr","SCH USS MIT CO- VAI ET Video & Content nichtohneuns_Dresden KUNDGEBUNG GENUG MiT DER ANGSTI Dresden, Neumarkt, 13.6. um 16.30 Uhr SCHLUSS RO 5",0.155,0.4737
0031.jpg,TECHNOPUNK GEGEN UNHALTBARE ZUSTÄNDE 14.10.2021 DEMO 18 UHR HERMANNPLATZ FAHRRAD-DEMO 20 UHR SCHILLINGBRÜCKE #køpibleibt,"TECHNOPUNK GEGEN UNHAITBARE ZUSTHNDE 14,10.2021 #kopibleibt #k  DE DEMO bt "" heRMANNPLATZ",0.5417,0.8571
0032.jpg,"WORKSHOP EINFÜHRUNG DADAISMUS Von der Uhr zur Kunst 16.01. & 18.01.2025 // 15 - 18:00 Uhr Mit Daniel Carrion Teilnahme: 10,- EUR NOCHMALL.DE/EVENTS/ Powered by BSR","WORKSHOP EINFÜHRUNG DADAISMUS Von der Uhr zur Kunst 16.01.& 18.01.2025 // 15 18.00 Uhr Mit Daniel Carrion Teilnahme: 10,- EUR NOCHMALL DE/EVENTS/ Powered by [BSR| och 'ENTs/ 8 Teiinahme s/ EN",0.2209,0.5
0035.jpg,FÜRSTENFELDER Salvator Neue Zähne beißen gut: Krügelredner Stefan KRÖLL! Das Starkbierfest 17.02.2024 - 20.00 Uhr,Salvator gut: Das Starkbierfest 17702.2024 20.00 Ulr Neue Zähne beißen Krügelredner _ Stefan KRÖLL! FÜRSTENFELDER Ipator 2,0.7876,1.0
0036.jpg,Limited Booze Boys FREITAG ab 19:00 Party + Live Band 21. STOCK CAR RENNEN HARTHA RENNSTRECKE HEEGWEG Betreutes Trinken LETZTES WE IM OKTOBER VERDÄCHTIG GUTE EVENTS 03 431 - 611 367,4 Live ab 21 LETZTES WE IM OKTOBER FREITAG Band Party STOCKGAR HEEGWEG RENNSTRECKE 0 GUTEEVENTS 19.00 HARTHA REMNEN kinken 3 822 LETZTES WE IM OKTOBER,0.7182,0.9032
0037.jpeg,FREE ALL ANTIFAS! FREIHEIT FÜR NANUK! KEINE AUSLIEFERUNG VON ANTIFAS NACH UNGARN! 18. MÄRZ 19 UHR | U-BHF TÜRMSTR | DEMO FREENANUK.NOBLOGS.ORG | BASG.NEWS,"Freiheit FÜR NanUK: ANTIFAS NACH UNGARN! 46, M ""7 ANTIYAS BASC NEWS 16 MaRZ FREE All 09 Keine AuslieferungVon DEMO """,0.7468,0.9583
0039.jpeg,VOM STAAT VERKNACKT UND TROTZDEM DA FREE ALL ANTIFA #FREE NANUK TAG DER POLITISCHEN GEFANGENEN DEMO BERLIN 18.03.25 | 19⁰⁰ U-BHF. TURMSTR.,4 TAGDER DEMO [180325/195 00 GEFANGENEN UBHETRMSTR FD EERLN 4,0.7971,0.9545
0040.jpeg,"SOLI-FESTIVAL 1. März 2025, 12 - 0 Uhr UNSERE STIMMEN SOLL MAN HÖREN! Mühlstrasse 14 e.V. Soziokulturelles Stadtteilzentrum Leipzig AMNESTY INTERNATIONAL","SOLI-FESTIVAL März 2025, 12 1 STIMMEN HOREN/ Mühlstrasse 44 AMNESTY 50710 0 Uhr 2025, 12 UNSERE SOLL MAN e.V Soziokulturelles Stadtteilzentrum Leipzig INTERNATIONAL März",0.5359,0.8095
0041.jpg,"50 JAHRE RUMBLE IN THE JUNGLE Podium: Martin Krauß (Sportjournalist, taz) Dr. Michela Wrong (britische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin","Podlum: {Spomgoumalst (az) (briusche Journalistin) (Moderation) (79871 Markgrafoendanm 24c, 10245 Berlin Film: When we were Kings (1997) flabout blank Dr . Michela Wrong Film: When we were Kings 25. Nov ; 19 Uhr Mo  Mo ; 25. Nov  19 Uhr Markgrafendamm 10245 Berlin Film: When 19W2?",0.791,1.0556
0043.jpg,STABIL BLEIBEN UND MASSENHAFT WIDERSETZEN! LIVE DABEI: ★ ZSK ★ UND WEITERE ACTS! • 11. JANUAR 2025 • ALLE NACH RIESA • KUNDGEBUNG GEGEN AFD-PARTEITAG!,STABIL BLEIBEN WIDERSETZEN! UND WEITERE ACTS! 11. JANUAR 2025 ALLE NACH RIESA KUNDGEBUNG GEGEN AFD-PARTEITAG! MASSENHAFT Und DABEI: LIVE ACTS! UND,0.52,0.64
0044.jpg,NICHT OHNE UNS! DORTMUND jeden Samstag 14:30 Uhr - Willy-Brandt-Platz UNSERE DEMOKRATIE IST INFIZIERT! antikörper JETZT!,Jeden Samstag 1430 Uhr Willy-Brandt-Platz antikerpur 9 1 7 JETz',0.6,0.8125
0045.jpeg,ACHTUNG NEUE VERSAMMLUNGSFLÄCHE! GROSSDEMO KASSEL Frühlingserwachen – Die Welt steht auf! „Wir werden ALLE da sein!“ KARLSWIESE / ORANGERIE KASSEL WELTWEIT – ALLE ZUSAMMEN 1 TAG – 1 ZIEL WELTWEIT – ALLE ZUSAMMEN IN DER MITTE DEUTSCHLANDS 20.03.2021 12:00 – 16:00 UHR MIT ANSCHLIESSENDEM AUFZUG LIVESTREAMS AUS ALLER WELT #Zusammenhalt statt Spaltung,"ACHTUNG NEUE VERSAMMLUNGSFLÄCHE! GROSSDEMO KASSEL 80 Frühlingserwachen Die Welt steht auf KARLSWIESE / ORANGERIE KASSEL WELTWEIT ALLE ZUSAMMEN 1 TAG 1 ZIEL WELTWEIT ALLE ZUSAMMEN 20 C 12:00 MIT ANSCHLIESSENDEM QUFZUG Tr werden ALLE  LIVESTREAMS = #Zusammenhalt = ALLER  Spalung AUS WELT IN DER MITTE DEUTSCHLANDS 20.03.2021 16:00 UHR sein!"" statt ""Wir ANSCHLIESSENDEM AUFZUQ KARLSWIESE ORANGERIE KASSEL Die Welt steht auf 1 TAG - 1 ZIEL",0.6103,0.8846
0046.jpeg,h48 Plötzlich Meerjungmensch Die beste (nicht)Karnevals-Kostüm Party Berlins 01. März 2025 AB 20 UHR PROJEKTRAUM HERMANNSTRABE 48 LINE UP DJ KETCHUP (SPICY BASS / BREAKBEAT) DJ TDIPPZ (HAPPY HARDCORE) + KOSTÜMWETTBEWERB + PARTYSPIELE *VERKLEIDUNG ERWÜNSCHT. EGAL WAS!*,248 01. MÄRZ 2025 Lineuf Ketohup Breakbeat) (fio7 Die beste (nicht)Karnevals Kostüm Party Berlins Berlins Pojektraum 218 T 8,0.8396,0.9459
0047.jpg,"15 JAHRE JUBILÄUMSSHOW GOITZSCHE FRONT WILLKUER Berserker Berlin UBER EATS MUSIC HALL BERLIN, 28.09.2024 EINLASS: 18.30 UHR","JAHRE JUBILÄUMSSHOW FRENT Berlin UBER EATS MUSIC HALL BERLIN, 28 9,2024 15 EINLASS; 18.J0 VHR 15 YAHRE GOluzsGHe Jiersecker 28.09.2024",0.6748,0.9412
0049.jpg,"Rock'n'Roll Silvester BOPPIN'B Manu Tanzratte LEE'S REVENGE Silvester- & Wunschfeuer auf der Terrasse Killer Kirsche copper and blonde Di. 31.12.2024 Beginn 20:30 Uhr (Einlass 20 Uhr) Eintritt: 25 € + VVK | Späteinlass (ab 22:30 Uhr, nur Abendkasse): 15 € Bürgerhaus Dreieich Fichtestr. 50 | 63303 Dreieich",Manu Di. 3112.2024 Beginn 20.30 Uhr (Einlass 20 Ubr) Büirgerhaus Dreieich BÜRGERHÄUSER Fichtestr: 50 | 63303 Dreieich BOPPINB Tanzratte i Kaler M Kische KR Ickcls (copuslonde Inlos Eintritt: 25 C + VVG | Späteinlass (ab 22.30 Uhr; nur Abendkasse): 15 € KU_ Fichtestr: 50 63303 Dreieich 91142024,0.6405,0.766
0050.jpg,"Einladung zur bewegten Versammlung Miteinander zur Freude Samstag, 15. August ab 17:30 vom Friedensengel zur Münchner Freiheit Die Maßnahmen der letzten Zeit haben uns allen viel abverlangt Mit Musik und guter Laune ziehen wir gemeinsam durch München und holen uns die LEBENSFREUDE zurück!","ZUf baregten Versammlung Samstag, 15. August ab 17.30 vom Friedensengel zur Münchner Freiheit Laune zichen wr gemeinsam dunch Einlodung  bewegten UMiteinander Treude vom Friedensengel Die Maßnahmen der letzen Zeit haben uns allen viel abverlangt Mit Musik und guter Laune zichen wir gemeinnsam durch Nersammlung zur Maßnahmen der letzen Zeit haben uns allen viel  abverlangt Mit Musik und Munchen und quter",0.7474,0.8605
0051.jpg,bEwegunGS FREIHEIT #23 29.12.2023 ://ABOUT BLANK SOLIPARTY FÜR MENSCHEN MIT FLUCHTGESCHICHTE,2912 2023 BLANK MIT bEweGunGs FREIHEIT #23 SOLIPARTY FÜR MENSCHEN FLUCHTGESCHICHTE U/ABOUT IABOUT BLANK SOLIPARTY FÜR FREIHEIT #23,1.0109,1.2727
0052.jpeg,"01.03.2025 Punk Against Gentrification Gemeinsam gegen das Clubsterben ni-jusan AUF KRAMPF LADEHEMMUNG Einlass : 19 Uhr Beginn : 20 Uhr VVK : 13,12€   AK : 15€ Wo : SOLTMANN","Tickets 01.03.2025 Punk Against Gentrification Gemeinsam gegen das Clubsterben ni-ju san Jhv Einlass 19 Uhr Beginn 20 Uhr VVK 13,12 € Wo S@LTMAN N KRAl Avf 8 $ LADEHEMMUNG AK : 15€ AK 156 KRAMPF KRA 4 hr Gentrificas Uhr",0.6301,0.8621
0054.jpg,MAGISCHES FÜRSTENFELD 5. + 6. Januar 2025 Zaubervarieté für die ganze Familie JANIS VON DEM BORNE MARION METTERNICH DETLEF WINTERBERG,MAGISCHES FÜRSTENFELD 5. + 6. Januar 2025 Zaubervariete für die ganze Famile JANIS VON MARION DETLEE DEM BORNE METTERNICH WINTERBERG 6. Januar 2025 2 5.,0.3534,0.55
0055.jpg,"Soliparty für Frauen auf der Flucht (ROSA e.V.) DYNAMIC x EUPHORIOT 7.3.2025, 23–7 Uhr ://about blank SKYY YU/VA TIKITULA POWPOW MAARTEN KETRAEDA FUCHSITEK MISS PIXIE JULE BAMBULE GRETCHEN BAZOOKA SHANNON SOUNDQUIST HAVYLICOUS B2B GINGER B Tekno, Gabber, Frenchcore + Karaoke Markgrafendamm 24c, 10245 Berlin Fascists not welcome!","X 73.2025, 23-7 Ulr SKYY Tikitula MAARTEN KETRAEDA FUCHSITEK JULE BAMBULE GREVCHEN Bazooka SHANNON SOUNDQUIST Telno; Gabbber; Frenchcore Soliparty für Frauen auf der Flucht (ROSA e.V) DYNAMIC :labout blank PowPow MISS PIXIE Markgrafendamm 246,10245 Berlin EuPhoRioT KavyLicous 82B GINGER YU/VA",0.7697,1.0
0057.jpg,HOCUS POCUS DIE INTERNATIONALE ZAUBERGALA MIT SORIA IENG ALBERTO GIORGI & LAURA SVEN HEUBES & SABRINA MAGIC DORIAN ANDY JORDAN MARC OBERON MODERATION BERT CALLENBACH 13. & 15.5.2022 VERANSTALTUNGSFORUM FÜRSTENFELD - STADTSAAL FÜRSTENFELD 12 • 82256 FÜRSTENFELDBRUCK • KARTEN AB 27€ AUF FÜRSTENFELD.RESERVIX.DE,DIE INTERNATIONALE ZAUBERGALA ALBERTO GI@RGI LAUra SVEN HEUBES & SABRINA ANDY J@RDAN MAR @BERON BERT Callenbach 13. & 15.5.2022 VERANSTALTUNGSFORUM FÜRSTENFELD - STADTSAAL FURSTENFELD 12 82256 FORSTENFELDBRUCK * KARTEN AB 27€ AUF FUERSTENFELD RESERVIX DE Socua SORIA IENG ALBERTO GIORGI & LAURA MAGIC DORIAN VERANSTALTUNGSFORUM FÜRSTENFELD STADTSAAL 82256 FURSTENFELDBRUCK KARTEN AB 27€ AUF FUERSTENFELDRESERVIX DE FURSTENFELD 12 - 82256 FÜRSTENFELDBRUCK 13. 15.5.2022 1/ /,0.9547,1.186
