image,gt_line,ocr_line,CER,WER
0013.jpg,Ferhat Unvar · Gökhan Gültekin · Vili-Viorel Păun · Sedat Gürbüz · Mercedes Kierpacz · Kaloyan Velkov · Said Nesar Hashemi · Fatih Saraçoğlu · Hamza Kenan Kurtović,,1.0,1.0
0013.jpg,WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN!,,1.0,1.0
0013.jpg,RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!,RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKAMPFENI,0.0417,0.2
0014.jpg,HACK SEXISM,SEXISM,0.4545,0.5
0014.jpg,Broschüren-Release,Broschüren-Release,0.0,0.0
0014.jpg,5. Juli 2023 ://about blank,5.Juli 2023:llabout blank,0.1481,0.8
0014.jpg,18:30 Einlass // 19 Uhr Start,18.30 Einlass /l 19Uhr Start,0.1034,0.6667
0014.jpg,Strategien und Maßnahmen gegen,Strategien und Moßnahmen gegen,0.0333,0.25
0014.jpg,Sexismus und sexualisierte Gewalt,Sexismus und sexualisierte Gewalt,0.0,0.0
0014.jpg,auf Festivals & Co,auf Festivals & Co,0.0,0.0
0014.jpg,MBI NYP,,1.0,1.0
0015.jpg,"FR., 28. JUNI",,1.0,1.0
0015.jpg,RAVE DEMO,,1.0,1.0
0015.jpg,BASS GEGEN HASS,BASS GEGEN Hass,0.2,0.3333
0015.jpg,"19 UHR,",,1.0,1.0
0015.jpg,ESSEN HBF,ESSEN,0.4444,0.5
0016.jpg,WORKSHOP,,1.0,1.0
0016.jpg,Do it Yourself,,1.0,1.0
0016.jpg,Bau dein eigenen PC und Smartphone,Bau dein eigenen PC und Smartphone,0.0,0.0
0016.jpg,Wo?,Wo?,0.0,0.0
0016.jpg,Mittelpunktbibliothek Treptow,Mittelpunktbibliothek Treptow,0.0,0.0
0016.jpg,Wann?,Wann?,0.0,0.0
0016.jpg,Samstag 16.11.2024,'Samstag 16.11.2024,0.0556,0.5
0016.jpg,*11 bis 13 Uhr,#I1 bis 13 Uhr,0.1429,0.25
0016.jpg,Jetzt Anmelden!,Jetzt Anmelden!,0.0,0.0
0016.jpg,PS: Alte/eigene Geräte können zum erforschen mitgebracht werden!,,1.0,1.0
0017.jpg,76 Jahre,76 Jahre,0.0,0.0
0017.jpg,Befreiung vom Faschismus,,1.0,1.0
0017.jpg,Erinnern heißt,Erinnlern heißt,0.0714,0.5
0017.jpg,KÄMPFEN!,XÄMPFEN',0.25,1.0
0017.jpg,"Sa, 08.05.2021","Sa, 08.05.2021",0.0,0.0
0017.jpg,Gedenken 10:00–18:00 Uhr,Gedenken 10.00-18.00 Uhr,0.125,0.3333
0017.jpg,Sowjetisches Ehrenmahl Buch,Sowjetisches Ehrenmahl Buch,0.0,0.0
0017.jpg,Kundgebung 15:00 Uhr,Kundgebung 15.00 Uhr,0.05,0.3333
0017.jpg,Vortreffungspunkt 14:30 Uhr,"Vortreffungpunkt 14,30 Uhr",0.0741,0.6667
0017.jpg,Bahnsteig S-Pankow,Bahnsteig S-Pankow,0.0,0.0
0018.jpeg,KUNDGEBUNG & AUFZUG DURCH KASSEL,,1.0,1.0
0018.jpeg,Nein zur Impfpflicht!,Nein zur Impfpflicht!,0.0,0.0
0018.jpeg,Ärzte sprechen Klartext!,Arzte sprechen Klartext!,0.0417,0.3333
0018.jpeg,29. JANUAR 2022,JANUAR 2022,0.2667,0.3333
0018.jpeg,14.00 UHR,14.00 UHR,0.0,0.0
0018.jpeg,KÖNIGSPLATZ KASSEL,KÖNIGSPLATZ KASSEC,0.0556,0.5
0018.jpeg,FREIE BÜRGER KASSEL,FREIE BÜRGER,0.3684,0.3333
0018.jpeg,FÜR FRIEDEN & FREIHEIT,,1.0,1.0
0019.jpg,antifaschistische,a n t i f a s c h i s t i;s c h e,0.9412,16.0
0019.jpg,RALLY,RALLY,0.0,0.0
0019.jpg,START,START,0.0,0.0
0019.jpg,BRENNER-BERG,ERENNER-BenG,0.25,1.0
0019.jpg,ZWISCHEN,,1.0,1.0
0019.jpg,12 UND 16 UHR,,1.0,1.0
0019.jpg,15.5.,,1.0,1.0
0019.jpg,16.5.,,1.0,1.0
0020.jpg,DEMONSTRATION,DEMONSTRATION,0.0,0.0
0020.jpg,SONNTAG 06.09.2020,SONNTAG 06F79.2020,0.1111,0.5
0020.jpg,SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT!,,1.0,1.0
0020.jpg,WANN: 15:30 UHR,WANN: 15-30 UHR,0.0667,0.3333
0020.jpg,WO: MEISTERSINGERHALLE NÜRNBERG.,WO: MEISTERSINGERHALLE,0.3125,0.3333
0020.jpg,TOLLE REDNER,TOLLE REDNER,0.0,0.0
0020.jpg,MODERATOR,MODERATOR,0.0,0.0
0020.jpg,(NANA LIFESTYLER),(MANA LIFESTYLER),0.0588,0.5
0020.jpg,GUNNAR KAISER,,1.0,1.0
0020.jpg,U.V.M.,,1.0,1.0
0020.jpg,IMPRESSUM: SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT (DEUTSCHLAND),,1.0,1.0
0020.jpg,ADRIANBOOKING2019@GMAIL.COM,,1.0,1.0
0022.jpg,AKTION RESISTENZ FRUSTRATION,AKTION RESISTENZ FRUSTRATION,0.0,0.0
0022.jpg,GEMEINSAMKEIT WIDERSTAND HOFFNUNG,GEMEINSAMKEITWIDERSTAND HOFFNUNG,0.0303,0.6667
0022.jpg,AUFSCHREI BESTÄRKUNG NETZWERK,AUFSCHREI BESTÄRKUNG NETZWERK,0.0,0.0
0022.jpg,ISOLATION RESILIENZ SOLIDARITÄT,ISOLATION RESILIENZ SOLIDARITÄT,0.0,0.0
0022.jpg,TRAUER FLUCHT AUSBEUTUNG NEUANFANG,TRAUER FLUCHT AUSBEUTUNG NEUANFANG,0.0,0.0
0022.jpg,1 JAHR,JAHR,0.3333,0.5
0022.jpg,TALIBAN REGIME,,1.0,1.0
0022.jpg,"DEMO: SAMSTAG, 13.08.2022","DEMO: SAMSTAG, 13.08.2022",0.0,0.0
0022.jpg,"14.00 UHR, AUSWÄRTIGES AMT","14.00 UHR, AUSWÄRTIGES AMT",0.0,0.0
0022.jpg,PROTEST CAMP BERLIN,PROTEST CAMP BERLIN,0.0,0.0
0022.jpg,13.08.2022 — 15.08.2022,,1.0,1.0
0022.jpg,WORKSHOPS PERFORMANCES REDEBEITRÄGE,WORKSHOPS PERFORMANCES REDEBEITRÄGE,0.0,0.0
0022.jpg,#DONTFORGETAFGHANISTAN,'DONTFORCETAFGHANISTAN,0.0909,1.0
0023.jpg,09. Mai,09 Mai,0.1429,0.5
0023.jpg,15.30 Uhr Biberach Gigelberg,1530 Uhr Biberach Cigelberg,0.0714,0.5
0023.jpg,angemeldete DEMO,angemeldete DEMO,0.0,0.0
0023.jpg,Wahrung der Grundrechte,Wahrung der Grundrechte,0.0,0.0
0023.jpg,freie Impfentscheidung,freie Impfentscheidung,0.0,0.0
0023.jpg,Art.1: Die Würde des Menschen ist unantastbar....,Art.1: Die Würde des Menschen ist unantastbar._,0.0612,0.1429
0023.jpg,Art.2: Die Freiheit der Person ist unverletzlich...,Art.2: Die Freiheit der Person ist unverletzlich,0.0588,0.1429
0023.jpg,Art.5: Eine Zensur findet nicht statt...,Art.5: Eine Zensur findet nicht statt.-,0.05,0.1667
0023.jpg,WICHTIG,WICkTIG,0.1429,1.0
0023.jpg,bitte Mindestabstand einhalten,bitte Mindestabstand einhalten,0.0,0.0
0023.jpg,sonst könnte die Veranstaltung aufgelöst werden,sonst könnte die Veranstaltung aufgelöst,0.1489,0.1667
0024.jpg,ONE BILLION RISING,OME BILUON RISING,0.1667,0.6667
0024.jpg,HANAU,HANAU,0.0,0.0
0024.jpg,Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen,Weltweit tanzen an diesem Tag Menschen,0.377,0.4
0024.jpg,"14. Februar, 16 Uhr",14.Februar; 16Uhr,0.1579,1.0
0024.jpg,Marktplatz,Marktplatz',0.1,1.0
0024.jpg,Macht mit! Tanzt mit!,,1.0,1.0
0024.jpg,2017,2017],0.25,1.0
0024.jpg,ONE BILLION RISING HANAU,,1.0,1.0
0024.jpg,onebillionrising.org onebillionrising.de,,1.0,1.0
0024.jpg,Schirmherr: Claus Kaminsky Oberbürgermeister,,1.0,1.0
0024.jpg,Eine weltweite Aktion gegen Gewalt an Frauen,,1.0,1.0
0025.jpg,Noch drei Wochen,,1.0,1.0
0025.jpg,bis zu den Landtagswahlen.,Landtagswahlen.,0.4231,0.75
0025.jpg,IN ZWICKAU SIND,IN ZWICKAU SIND,0.0,0.0
0025.jpg,WIR STARK,WIR STARK,0.0,0.0
0025.jpg,GEGEN RECHTEN,GEGEN RECHTEN,0.0,0.0
0025.jpg,QUARK!,QUARK!,0.0,0.0
0025.jpg,+++ SA 17.08. 13:30 Uhr Hauptbahnhof +++,,1.0,1.0
0025.jpg,SACHSEN UNTERSTÜTZEN.,SACHSEN UNTERSTUTZEN.,0.0476,0.5
0025.jpg,STOPPT DIE AfD,,1.0,1.0
0026.jpg,Kultur & Strasse,Kutuestasse,0.4375,1.0
0026.jpg,FESTIVAL,FESIVAL,0.125,1.0
0026.jpg,About Blank Berlin,,1.0,1.0
0026.jpg,21. Juli 2024,,1.0,1.0
0026.jpg,13:00 – 22:00 Uhr,,1.0,1.0
0026.jpg,EINTRITT FREI!,,1.0,1.0
0027.jpg,A100,,1.0,1.0
0027.jpg,WEGBASSEN!,WEGBASSEN!,0.0,0.0
0027.jpg,FAHRRADDEMO,FAHRRADDEMO,0.0,0.0
0027.jpg,"gegen die A100 vom Verkehrsministerium zu ""A100 wegbassen"" am Ostkreuz",,1.0,1.0
0027.jpg,2.9. um 14 Uhr Invalidenpark,,1.0,1.0
0028.jpg,CORONA IST NICHT DAS PROBLEM,,1.0,1.0
0028.jpg,nichtohneuns_Dresden,nichtohneuns_Dresden,0.0,0.0
0028.jpg,ET Video & Content,ET Video & Content,0.0,0.0
0028.jpg,KUNDGEBUNG,KUNDGEBUNG,0.0,0.0
0028.jpg,EINE WIRTSCHAFTSKRISE?,EINE WIRTSCHAFTSKRISE?,0.0,0.0
0028.jpg,"Dresden, Neumarkt, 20.6. um 16.30 Uhr","Dresden; Neumarkt, 20.6. um 16.30 Uhr",0.027,0.1667
0029.jpg,"Zukunft am Ostkreuz, Laskerstraße 5, 10245 Berlin",,1.0,1.0
0029.jpg,Keine Zukunft fürs Ostkreuz,,1.0,1.0
0029.jpg,Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22,,1.0,1.0
0029.jpg,Ohne Zukunft am Ostkreuz,,1.0,1.0
0029.jpg,13.11. Kiezdemo und Kundgebung,"13,71. Kiezdemo und Kundgebung",0.0667,0.25
0029.jpg,13 Uhr Rudolfplatz,13 Uhr Rudolfplatz,0.0,0.0
0029.jpg,3.12. Aktionstag Zukunft,3.12. Aktionstag Zukuntt,0.0417,0.3333
0029.jpg,Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin.,,1.0,1.0
0030.jpg,SCHLUSS MIT CORONA!,,1.0,1.0
0030.jpg,ET Video & Content,ET Video & Content,0.0,0.0
0030.jpg,nichtohneuns_Dresden,nichtohneuns_Dresden,0.0,0.0
0030.jpg,KUNDGEBUNG,KUNDGEBUNG,0.0,0.0
0030.jpg,GENUG MIT DER ANGST!,GENUG MiT DER ANGSTI,0.1,0.5
0030.jpg,"Dresden, Neumarkt, 13.6. um 16.30 Uhr","Dresden, Neumarkt, 13.6. um 16.30 Uhr",0.0,0.0
0031.jpg,TECHNOPUNK GEGEN,TECHNOPUNK GEGEN,0.0,0.0
0031.jpg,UNHALTBARE ZUSTÄNDE,UNHAITBARE ZUSTHNDE,0.1053,1.0
0031.jpg,14.10.2021,"14,10.2021",0.1,1.0
0031.jpg,DEMO 18 UHR HERMANNPLATZ,,1.0,1.0
0031.jpg,FAHRRAD-DEMO 20 UHR SCHILLINGBRÜCKE,,1.0,1.0
0031.jpg,#køpibleibt,#kopibleibt,0.0909,1.0
0032.jpg,WORKSHOP,WORKSHOP,0.0,0.0
0032.jpg,EINFÜHRUNG DADAISMUS,,1.0,1.0
0032.jpg,Von der Uhr zur Kunst,Von der Uhr zur Kunst,0.0,0.0
0032.jpg,16.01. & 18.01.2025 // 15 - 18:00 Uhr,16.01.& 18.01.2025 // 15,0.3514,0.625
0032.jpg,Mit Daniel Carrion,Mit Daniel Carrion,0.0,0.0
0032.jpg,"Teilnahme: 10,- EUR","Teilnahme: 10,- EUR",0.0,0.0
0032.jpg,NOCHMALL.DE/EVENTS/,NOCHMALL DE/EVENTS/,0.0526,2.0
0032.jpg,Powered by BSR,Powered by,0.2857,0.3333
0035.jpg,FÜRSTENFELDER,FÜRSTENFELDER,0.0,0.0
0035.jpg,Salvator,Salvator,0.0,0.0
0035.jpg,Neue Zähne,,1.0,1.0
0035.jpg,beißen gut:,beißen,0.4545,0.5
0035.jpg,Krügelredner Stefan,Krügelredner _,0.3158,0.5
0035.jpg,KRÖLL!,KRÖLL!,0.0,0.0
0035.jpg,Das Starkbierfest,Das Starkbierfest,0.0,0.0
0035.jpg,17.02.2024 - 20.00 Uhr,,1.0,1.0
0036.jpg,Limited Booze Boys,,1.0,1.0
0036.jpg,FREITAG,FREITAG,0.0,0.0
0036.jpg,ab 19:00 Party + Live Band,,1.0,1.0
0036.jpg,21.,21,0.3333,1.0
0036.jpg,STOCK CAR,STOCKGAR,0.2222,1.0
0036.jpg,RENNEN HARTHA,,1.0,1.0
0036.jpg,RENNSTRECKE HEEGWEG,RENNSTRECKE,0.4211,0.5
0036.jpg,Betreutes Trinken,,1.0,1.0
0036.jpg,LETZTES WE IM OKTOBER,LETZTES WE IM OKTOBER,0.0,0.0
0036.jpg,VERDÄCHTIG GUTE EVENTS,,1.0,1.0
0036.jpg,03 431 - 611 367,,1.0,1.0
0037.jpeg,FREE ALL,FREE All,0.25,0.5
0037.jpeg,ANTIFAS!,ANTIYAS,0.25,1.0
0037.jpeg,FREIHEIT FÜR NANUK!,,1.0,1.0
0037.jpeg,KEINE AUSLIEFERUNG VON,,1.0,1.0
0037.jpeg,ANTIFAS NACH UNGARN!,ANTIFAS NACH UNGARN!,0.0,0.0
0037.jpeg,18. MÄRZ,,1.0,1.0
0037.jpeg,19 UHR | U-BHF TÜRMSTR | DEMO,,1.0,1.0
0037.jpeg,FREENANUK.NOBLOGS.ORG | BASG.NEWS,,1.0,1.0
0039.jpeg,VOM STAAT VERKNACKT,,1.0,1.0
0039.jpeg,UND TROTZDEM DA,,1.0,1.0
0039.jpeg,FREE ALL ANTIFA,,1.0,1.0
0039.jpeg,#FREE NANUK,,1.0,1.0
0039.jpeg,TAG DER,4 TAGDER,0.4286,1.0
0039.jpeg,POLITISCHEN,,1.0,1.0
0039.jpeg,GEFANGENEN,GEFANGENEN,0.0,0.0
0039.jpeg,DEMO BERLIN,,1.0,1.0
0039.jpeg,18.03.25 | 19⁰⁰,,1.0,1.0
0039.jpeg,U-BHF. TURMSTR.,UBHETRMSTR,0.4,1.0
0040.jpeg,SOLI-FESTIVAL,SOLI-FESTIVAL,0.0,0.0
0040.jpeg,"1. März 2025, 12 - 0 Uhr","März 2025, 12",0.4583,0.5714
0040.jpeg,UNSERE,UNSERE,0.0,0.0
0040.jpeg,STIMMEN,STIMMEN,0.0,0.0
0040.jpeg,SOLL MAN,SOLL MAN,0.0,0.0
0040.jpeg,HÖREN!,HOREN/,0.3333,1.0
0040.jpeg,Mühlstrasse 14 e.V.,Mühlstrasse,0.4211,0.6667
0040.jpeg,Soziokulturelles Stadtteilzentrum Leipzig,Soziokulturelles Stadtteilzentrum Leipzig,0.0,0.0
0040.jpeg,AMNESTY INTERNATIONAL,INTERNATIONAL,0.381,0.5
0041.jpg,50 JAHRE RUMBLE IN THE JUNGLE,,1.0,1.0
0041.jpg,Podium:,Podlum:,0.1429,1.0
0041.jpg,Martin Krauß,,1.0,1.0
0041.jpg,"(Sportjournalist, taz)",,1.0,1.0
0041.jpg,Dr. Michela Wrong,Dr . Michela,0.4118,1.0
0041.jpg,(britische Journalistin),(briusche Journalistin),0.0833,0.5
0041.jpg,Fabian Kunow,,1.0,1.0
0041.jpg,(Moderation),(Moderation),0.0,0.0
0041.jpg,Film: When we were Kings (1997),Film: When we were Kings (1997),0.0,0.0
0041.jpg,"Mo., 25. Nov., 19 Uhr",Mo ; 25. Nov  19 Uhr,0.1905,0.6
0041.jpg,://about blank,flabout blank,0.2143,0.5
0041.jpg,"Markgrafendamm 24c, 10245 Berlin","Markgrafoendanm 24c, 10245 Berlin",0.0625,0.25
0043.jpg,STABIL,STABIL,0.0,0.0
0043.jpg,BLEIBEN,BLEIBEN,0.0,0.0
0043.jpg,UND MASSENHAFT WIDERSETZEN!,,1.0,1.0
0043.jpg,LIVE DABEI:,DABEI:,0.4545,0.5
0043.jpg,★ ZSK ★,,1.0,1.0
0043.jpg,UND WEITERE ACTS!,UND WEITERE ACTS!,0.0,0.0
0043.jpg,• 11. JANUAR 2025 • ALLE NACH RIESA •,,1.0,1.0
0043.jpg,KUNDGEBUNG GEGEN AFD-PARTEITAG!,KUNDGEBUNG GEGEN AFD-PARTEITAG!,0.0,0.0
0044.jpg,NICHT OHNE UNS! DORTMUND,,1.0,1.0
0044.jpg,jeden Samstag 14:30 Uhr - Willy-Brandt-Platz,,1.0,1.0
0044.jpg,UNSERE DEMOKRATIE,,1.0,1.0
0044.jpg,IST INFIZIERT!,,1.0,1.0
0044.jpg,antikörper,antikerpur,0.2,1.0
0044.jpg,JETZT!,,1.0,1.0
0045.jpeg,ACHTUNG NEUE VERSAMMLUNGSFLÄCHE!,ACHTUNG NEUE VERSAMMLUNGSFLÄCHE!,0.0,0.0
0045.jpeg,GROSSDEMO KASSEL,GROSSDEMO,0.4375,0.5
0045.jpeg,Frühlingserwachen –,Frühlingserwachen,0.1053,0.5
0045.jpeg,Die Welt steht auf!,Die Welt steht auf,0.0526,0.25
0045.jpeg,„Wir werden ALLE da sein!“,,1.0,1.0
0045.jpeg,KARLSWIESE / ORANGERIE KASSEL,KARLSWIESE / ORANGERIE KASSEL,0.0,0.0
0045.jpeg,WELTWEIT – ALLE ZUSAMMEN,,1.0,1.0
0045.jpeg,1 TAG – 1 ZIEL,1 TAG - 1 ZIEL,0.0714,0.2
0045.jpeg,WELTWEIT – ALLE ZUSAMMEN,,1.0,1.0
0045.jpeg,IN DER MITTE DEUTSCHLANDS,IN DER MITTE DEUTSCHLANDS,0.0,0.0
0045.jpeg,20.03.2021,20.03.2021,0.0,0.0
0045.jpeg,12:00 – 16:00 UHR,,1.0,1.0
0045.jpeg,MIT ANSCHLIESSENDEM AUFZUG,MIT ANSCHLIESSENDEM QUFZUG,0.0385,0.3333
0045.jpeg,LIVESTREAMS AUS ALLER WELT,,1.0,1.0
0045.jpeg,#Zusammenhalt statt Spaltung,,1.0,1.0
0046.jpeg,h48,248,0.3333,1.0
0046.jpeg,Plötzlich Meerjungmensch,,1.0,1.0
0046.jpeg,Die beste (nicht)Karnevals-Kostüm Party Berlins,,1.0,1.0
0046.jpeg,01. März 2025,01. MÄRZ 2025,0.2308,0.3333
0046.jpeg,AB 20 UHR,,1.0,1.0
0046.jpeg,PROJEKTRAUM,,1.0,1.0
0046.jpeg,HERMANNSTRABE 48,,1.0,1.0
0046.jpeg,LINE UP,,1.0,1.0
0046.jpeg,DJ KETCHUP,,1.0,1.0
0046.jpeg,(SPICY BASS / BREAKBEAT),,1.0,1.0
0046.jpeg,DJ TDIPPZ,,1.0,1.0
0046.jpeg,(HAPPY HARDCORE),,1.0,1.0
0046.jpeg,+ KOSTÜMWETTBEWERB,,1.0,1.0
0046.jpeg,+ PARTYSPIELE,,1.0,1.0
0046.jpeg,*VERKLEIDUNG ERWÜNSCHT. EGAL WAS!*,,1.0,1.0
0047.jpg,15 JAHRE,15 YAHRE,0.125,0.5
0047.jpg,JUBILÄUMSSHOW,JUBILÄUMSSHOW,0.0,0.0
0047.jpg,GOITZSCHE FRONT,,1.0,1.0
0047.jpg,WILLKUER,,1.0,1.0
0047.jpg,Berserker,Jiersecker,0.3333,1.0
0047.jpg,Berlin,Berlin,0.0,0.0
