file_name,Anzahl_EVENT_gt,Anzahl_EVENT_erkannt,Anzahl_TOPIC_gt,Anzahl_TOPIC_erkannt,Anzahl_DATE_gt,Anzahl_DATE_erkannt,Anzahl_TIME_gt,Anzahl_TIME_erkannt,Anzahl_LOC_gt,Anzahl_LOC_erkannt,erkannte_entities,nicht_erkannte_entities
0020.jpg,1,1,1,0,2,1,1,0,2,2,[EVENT] DEMONSTRATION; [DATE] SONNTAG; [LOC] MEISTERSINGERHALLE; [LOC] NÜRNBERG,[DATE] 06.09.2020; [TOPIC] SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT!; [TIME] 15:30 UHR
0022.jpg,4,4,1,0,3,2,1,1,2,2,[EVENT] DEMO; [EVENT] PROTEST CAMP; [EVENT] WORKSHOPS; [EVENT] PERFORMANCES; [DATE] SAMSTAG; [DATE] 13.08.2022; [TIME] 14.00 UHR; [LOC] AUSWÄRTIGES AMT; [LOC] BERLIN,[TOPIC] 1 JAHR TALIBAN REGIME; [DATE] 13.08.2022 — 15.08.2022
0023.jpg,1,1,1,0,1,1,1,1,1,1,[DATE] 09. Mai; [TIME] 15.30 Uhr; [LOC] Biberach Gigelberg; [EVENT] DEMO,[TOPIC] Wahrung der Grundrechte freie Impfentscheidung
0024.jpg,1,0,3,2,2,2,1,1,2,2,[LOC] HANAU; [TOPIC] gegen Gewalt an Frauen; [DATE] 14. Februar; [TIME] 16 Uhr; [LOC] Marktplatz; [TOPIC] Tanzt mit!; [DATE] 2017,[EVENT] ONE BILLION RISING; [TOPIC] Eine weltweite Aktion gegen Gewalt an Frauen
0025.jpg,0,0,3,0,2,2,1,0,1,1,[DATE] SA; [DATE] 17.08.; [LOC] Hauptbahnhof,[TOPIC] IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK!; [TIME] 13:30 Uhr; [TOPIC] SACHSEN UNTERSTÜTZEN; [TOPIC] STOPPT DIE AfD
0026.jpg,1,0,1,0,1,0,1,0,1,1,[LOC] Berlin,[TOPIC] Kultur & Strasse; [EVENT] FESTIVAL; [DATE] 21. Juli 2024; [TIME] 13:00 – 22:00 Uhr
0027.jpg,1,1,2,0,1,0,1,1,2,1,[EVENT] FAHRRADDEMO; [TIME] 14 Uhr; [LOC] Invalidenpark,[TOPIC] A100 WEGBASSEN!; [TOPIC] gegen die A100 vom Verkehrsministerium; [LOC] Ostkreuz ; [DATE] 2.9.
0028.jpg,1,1,2,1,1,1,1,1,2,2,[EVENT] KUNDGEBUNG; [TOPIC] EINE WIRTSCHAFTSKRISE?; [LOC] Dresden; [LOC] Neumarkt; [DATE] 20.6.; [TIME] 16.30 Uhr,[TOPIC] CORONA IST NICHT DAS PROBLEM
0029.jpg,3,3,2,0,1,1,1,1,4,1,[DATE] 13.11.; [EVENT] Kiezdemo; [EVENT] Kundgebung; [TIME] 13 Uhr; [LOC] Rudolfplatz; [EVENT] Aktionstag,[LOC] Zukunft am Ostkreuz; [LOC] Laskerstraße 5; [LOC] 10245 Berlin; [TOPIC] Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22; [TOPIC] Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin
0030.jpg,1,1,2,1,1,1,1,1,2,2,[EVENT] KUNDGEBUNG; [TOPIC] GENUG MIT DER ANGST!; [LOC] Dresden; [LOC] Neumarkt; [DATE] 13.6.; [TIME] 16.30 Uhr,[TOPIC] SCHLUSS MIT CORONA!
0031.jpg,2,1,1,0,1,0,2,0,2,0,[EVENT] DEMO,[TOPIC] TECHNOPUNK GEGEN UNHALTBARE ZUSTÄNDE; [DATE] 14.10.2021; [TIME] 18 UHR; [LOC] HERMANNPLATZ; [EVENT] FAHRRAD-DEMO; [TIME] 20 UHR; [LOC] SCHILLINGBRÜCKE
0032.jpg,1,1,2,1,2,2,1,0,0,0,[EVENT] WORKSHOP; [TOPIC] Von der Uhr zur Kunst; [DATE] 16.01.; [DATE] 18.01.2025,[TOPIC] EINFÜHRUNG DADAISMUS; [TIME] 15 - 18:00 Uhr
0035.jpg,1,1,0,0,1,1,1,1,0,0,[EVENT] Starkbierfest; [DATE] 17.02.2024; [TIME] 20.00 Uhr,
0036.jpg,2,1,0,0,3,2,1,0,2,1,[EVENT] Party; [LOC] HEEGWEG; [DATE] LETZTES WE; [DATE] OKTOBER,[DATE] FREITAG; [TIME] 19:00; [EVENT] 21. STOCK CAR RENNEN; [LOC] HARTHA RENNSTRECKE
0037.jpeg,1,1,3,0,1,0,1,0,1,0,[EVENT] DEMO,[TOPIC] FREE ALL ANTIFAS!; [TOPIC] FREIHEIT FÜR NANUK!; [TOPIC] KEINE AUSLIEFERUNG VON ANTIFAS NACH UNGARN!; [DATE] 18. MÄRZ; [TIME] 19 UHR ; [LOC] U-BHF TÜRMSTR
0039.jpeg,1,1,2,0,1,0,1,0,2,0,[EVENT] DEMO,[TOPIC] FREE NANUK; [TOPIC] TAG DER POLITISCHEN GEFANGENEN; [LOC] BERLIN; [DATE] 18.03.25; [TIME] 19⁰⁰; [LOC] U-BHF. TURMSTR.
0040.jpeg,1,1,1,0,1,0,1,0,2,1,[EVENT] SOLI-FESTIVAL; [LOC] Soziokulturelles Stadtteilzentrum Leipzig,[DATE] 1. März 2025; [TIME] 12 - 0 Uhr; [TOPIC] UNSERE STIMMEN SOLL MAN HÖREN!; [LOC] Mühlstrasse 14
0041.jpg,1,1,1,0,2,0,1,1,2,2,[EVENT] Film; [TIME] 19 Uhr; [LOC] Markgrafendamm 24c; [LOC] 10245 Berlin,[TOPIC] 50 JAHRE RUMBLE IN THE JUNGLE; [DATE] Mo.; [DATE] 25. Nov.
0043.jpg,1,1,2,1,1,1,0,0,1,1,[DATE] 11. JANUAR 2025; [LOC] RIESA; [EVENT] KUNDGEBUNG; [TOPIC] GEGEN AFD-PARTEITAG!,[TOPIC] STABIL BLEIBEN UND MASSENHAFT WIDERSETZEN!
0044.jpg,0,0,3,0,1,1,1,0,2,1,[DATE] Samstag; [LOC] Willy-Brandt-Platz,[TOPIC] NICHT OHNE UNS!; [LOC] DORTMUND; [TIME] 14:30 Uhr; [TOPIC] UNSERE DEMOKRATIE IST INFIZIERT!; [TOPIC] antikörper JETZT!
0045.jpeg,1,1,5,0,1,1,1,0,4,4,[EVENT] GROSSDEMO; [LOC] KASSEL; [LOC] KARLSWIESE; [LOC] ORANGERIE; [LOC] KASSEL; [DATE] 20.03.2021,[TOPIC] Frühlingserwachen – Die Welt steht auf!; [TOPIC] WELTWEIT – ALLE ZUSAMMEN; [TOPIC] 1 TAG – 1 ZIEL; [TOPIC] WELTWEIT – ALLE ZUSAMMEN IN DER MITTE DEUTSCHLANDS; [TIME] 12:00 – 16:00 UHR; [TOPIC] Zusammenhalt statt Spaltung
0046.jpeg,3,1,0,0,1,0,1,0,2,0,[EVENT] Party,[DATE] 01. März 2025; [TIME] 20 UHR; [LOC] PROJEKTRAUM; [LOC] HERMANNSTRABE 48; [EVENT] KOSTÜMWETTBEWERB; [EVENT] PARTYSPIELE
0047.jpg,1,1,3,0,1,1,1,0,2,1,[EVENT] JUBILÄUMSSHOW; [LOC] BERLIN; [DATE] 28.09.2024,[TOPIC] GOITZSCHE FRONT; [TOPIC] WILLKUER; [TOPIC] Berserker Berlin; [LOC] UBER EATS MUSIC HALL; [TIME] 18.30 UHR
0049.jpg,1,0,1,0,2,0,3,1,3,2,[TIME] 20 Uhr; [LOC] Bürgerhaus Dreieich; [LOC] 63303 Dreieich,[EVENT] Silvester; [TOPIC] Rock'n'Roll; [DATE] Di.; [DATE] 1.12.2024; [TIME] 20:30 Uhr; [TIME] 22:30 Uhr; [LOC] Fichtestr. 50
0050.jpg,1,1,1,0,2,2,1,0,3,2,[EVENT] Versammlung; [DATE] Samstag; [DATE] 15. August; [LOC] Friedensengel; [LOC] Münchner Freiheit,[TOPIC] Miteinander zur Freude; [TIME] 17:30; [LOC] München
0051.jpg,1,1,1,0,1,1,0,0,0,0,[DATE] 29.12.2023; [EVENT] SOLIPARTY,[TOPIC] FÜR MENSCHEN MIT FLUCHTGESCHICHTE
0052.jpeg,0,0,2,1,1,1,2,2,1,0,[DATE] 01.03.2025; [TOPIC] Gemeinsam gegen das Clubsterben; [TIME] 19 Uhr; [TIME] 20 Uhr,[TOPIC] Punk Against Gentrification; [LOC] SOLTMANN
0054.jpg,1,0,0,0,1,0,0,0,1,1,[LOC] FÜRSTENFELD,[DATE] 5. + 6. Januar 2025; [EVENT] Zaubervarieté
0055.jpg,1,1,2,1,1,0,1,0,2,0,[EVENT] Soliparty; [TOPIC] für Frauen auf der Flucht,[DATE] 7.3.2025; [TIME] 23–7 Uhr; [LOC] Markgrafendamm 24c; [LOC] 10245 Berlin; [TOPIC] Fascists not welcome!
0057.jpg,1,1,0,0,2,2,0,0,4,3,[EVENT] ZAUBERGALA; [DATE] 13. & 15.5.2022; [DATE] DI; [LOC] VERANSTALTUNGSFORUM FÜRSTENFELD; [LOC] STADTSAAL; [LOC] 82256 FÜRSTENFELDBRUCK,[LOC] FÜRSTENFELD 12
0059.jpg,1,1,0,0,1,0,0,0,3,2,[EVENT] COMEDY; [LOC] KUFA; [LOC] BERLIN,"[DATE] 8. März, 19 Uhr; [LOC] Moabit"
0060.jpg,1,0,1,0,1,0,1,1,2,0,[TIME] 20.12 Uhr,[EVENT] POETRY SLAM; [DATE] 26. April 2024; [TOPIC] DAS GROSSE FINALE; [LOC] Bramfeld; [LOC] BIM Kulturzentrum
0061.jpg,1,0,1,1,1,0,1,0,1,0,[TOPIC] Freedom,[EVENT] Parade; [DATE] 01.10.2020; [TIME] 10:00 Uhr; [LOC] Schloss Bellevue
0062.jpg,2,2,1,0,1,1,1,0,6,4,[EVENT] LESECLUB; [EVENT] LESECLUB; [DATE] Montags; [LOC] Gymnasium Meiendorf; [LOC] Raum 804; [LOC] Kreuzbau; [LOC] Schierenberg 60,[LOC] B!M Kulturzentrum; [TOPIC] HORIZONTE ERWEITERN WELTEN ERLESEN; [TIME] 14.00 – 15.30 Uhr; [LOC] GYMNASIUM MEIENDORF
0063.jpg,1,1,2,0,1,1,1,0,1,1,[EVENT] DEMO; [DATE] 28. März; [LOC] Stephansplatz,[TOPIC] STOPPT DIE GASLOBBY; [TOPIC] soziale Klima- und Energiepolitik gegen die European Gas Conference; [TIME] 17:30 Uhr
0064.jpg,1,1,0,0,2,1,1,0,1,1,[EVENT] KIEZFEST; [LOC] KIEZKLUB; [DATE] Samstag,[DATE] 1. Juli 2023; [TIME] 14 – 18 Uhr
0066.jpg,1,1,1,1,1,0,0,0,2,1,[LOC] Fürstenfeld; [EVENT] Festival; [TOPIC] Zauberkunst,[LOC] Veranstaltungsforum Fürstenfeld; [DATE] 11. – 15. Mai 2022
0067.jpeg,2,2,1,0,1,1,1,1,3,2,[EVENT] Ausstellung; [EVENT] Fundraising Veranstaltung; [DATE] 15.03.2025; [TIME] 16Uhr; [LOC] Weitlingstr. 97; [LOC] 10317,[TOPIC] HEART OF GAZA; [LOC] Café Wostok
0071.jpg,2,0,1,1,1,0,1,0,2,1,[TOPIC] Freedom; [LOC] Brandenburger Tor,[EVENT] Parade; [EVENT] Großdemo; [DATE] 29. August 2020; [TIME] 11:00 Uhr; [LOC] Siegessäule
0072.jpg,3,2,2,0,2,0,3,1,4,1,[EVENT] DEMO; [EVENT] Kundgebung; [TIME] 17:00; [LOC] Bahnhofstraße 69,[EVENT] LICHTERMEER; [TOPIC] ZUSAMMENHALTEN GEGEN RECHTS; [TOPIC] ZUM SCHUTZ UNSERER DEMOKRATIE; [DATE] MI.; [DATE] 14.2.2024; [TIME] 16:30; [TIME] 16:00; [LOC] RIED IM INNKREIS; [LOC] Bahnhof Ried; [LOC] Marktplatz Ried
0073.jpeg,1,1,0,0,1,1,1,0,1,1,[EVENT] flohmarkt; [DATE] 02.03.; [LOC] Rigaer Straße 94,[TIME] 12⁰⁰ - 17⁰⁰
0074.jpg,1,0,1,0,1,1,1,0,2,2,[DATE] 16. November 2024; [LOC] NochMall; [LOC] Berlin-Reinickendorf,[EVENT] FESTIVAL; [TOPIC] ZERO WASTE FUTURE; [TIME] 13:00–18:00 Uhr
0075.jpg,2,1,0,0,2,0,1,0,1,0,[EVENT] Kinderdisco,[EVENT] KINDERDISCO; [DATE] Friday; [DATE] 26 APRIL; [TIME] 14:00 - 19:30; [LOC] S-Bahn Ostkreuz
0078.png,0,0,0,0,2,2,1,0,1,0,[DATE] sat; [DATE] 6.5.2023,[TIME] 2 pm; [LOC] ://about blank
0080.jpg,1,0,4,0,1,0,1,0,2,2,[LOC] Dornbirn; [LOC] Marktplatz,"[EVENT] DEMO; [TOPIC] Für Demokratie und Menschenrechte; [TOPIC] gegen Gedankengut, das die Demokratie zersetzt; [TOPIC] für das Gemeinsame in der Zivilgesellschaft; [TOPIC] Solidarität und Mitmenschlichkeit; [DATE] 18. Februar 2024; [TIME] 17:30 Uhr"
0081.jpg,1,0,0,0,2,1,1,0,3,3,[DATE] Fr; [LOC] markgrafendamm 24c; [LOC] 10245 berlin; [LOC] s-bhf ostkreuz,[EVENT] KINDERDISCO; [DATE] 21·04·23; [TIME] 14–19 Uhr
0082.jpg,1,1,1,0,2,1,1,1,3,0,[EVENT] Demo; [DATE] Sa; [TIME] 14h,[TOPIC] Der Görli bleibt auf!; [DATE] 24.2.; [LOC] Wrangelkiez; [LOC] Platz ohne Namen; [LOC] Falckensteinst. 1A
0086.jpg,1,1,1,0,2,1,1,0,2,1,[EVENT] Kundgebung; [DATE] SAMSTAG; [LOC] Kaiserslautern,[TOPIC] EINEN STATT SPALTEN; [DATE] 08.08.; [TIME] 16-18 Uhr; [LOC] STIFTSPLATZ
0089.jpeg,2,2,1,0,1,0,1,1,3,3,[EVENT] KUNDGEBUNG; [EVENT] AUFZUG; [TIME] 15:30 UHR; [LOC] FRIEDRICHSPLATZ; [LOC] KASSEL; [LOC] FRIDERICIANUM,[TOPIC] Grundrechte gelten!; [DATE] 15. JANUAR 2022
0090.jpeg,1,0,1,0,1,1,1,0,2,2,[DATE] 20.11.2021; [LOC] Fulda; [LOC] MAGDEBURG,[EVENT] WORLD FREEDOM DAY; [TOPIC] Die Welt steht auf; [TIME] 12:00 - 16:00 UHR
0091.jpg,2,0,0,0,2,0,0,0,3,0,,[EVENT] Festival; [EVENT] 27. Bike & Rock Festival ; [DATE] 08. - 11. August 2024; [DATE] 2. August Wochenende; [LOC] Limberg; [LOC] Cottbus; [LOC] Vetschau
0093.jpg,1,0,0,0,2,0,1,0,6,0,,[EVENT] SOMMERFEST; [DATE] Sa; [DATE] 3. Sept.; [TIME] 14–19 Uhr; [LOC] KIEZKLUB; [LOC] Rathaus; [LOC] Johannisthal; [LOC] Sterndamm 102; [LOC] 12487 BERLIN; [LOC] Innenhof
0094.jpg,1,0,1,0,1,1,1,0,1,0,[DATE] 26.04.2020,[EVENT] Trauerfeier; [TOPIC] für unsere geliebte Demokratie; [TIME] 12:00 - 19:00; [LOC] Mariannenplatz
0095.jpg,2,1,1,0,1,0,0,0,1,0,[EVENT] LESEPERFORMANCES,"[EVENT] Releaseparty; [TOPIC] POPkultur, Feminismus, Change und so; [DATE] 12.8.; [LOC] ://aboutblank"
0096.jpg,0,0,2,0,1,1,0,0,2,1,[DATE] 25. April; [LOC] Volksbühne,[TOPIC] FEIER WAS DU LIEBST; [TOPIC] Für René; [LOC] Rosa-Luxemburg-Platz
0097.jpg,1,1,2,0,1,1,1,1,1,0,[EVENT] Veranstaltung; [DATE] 13.12.2024; [TIME] 20 Uhr,[TOPIC] UNTERM TECHNO LIEGT DER PUNK; [TOPIC] Welche Rolle spielen emanzipatorische Subkultur & Bewegung in Ostdeutschland?; [LOC] :// about blank
0098.jpg,1,1,1,0,2,1,1,0,0,0,[EVENT] benefizveranstaltung; [DATE] montag,[TOPIC] STAAT. NATION. KAPITAL. SCHEISSE.; [DATE] 2. oktober 2023; [TIME] 18:00 uhr
0099.jpg,1,0,1,0,1,0,1,0,2,1,[LOC] Roter Salon,[EVENT] PUNK Abend; [TOPIC] Vergessene Arbeitskämpfe; [DATE] 29.09.; [TIME] 21 Uhr; [LOC] VOLKSBÜHNE
0100.jpg,1,1,0,0,1,0,1,1,1,1,[EVENT] FAMILIEN-FLOHMARKT; [TIME] 10 - 14 Uhr; [LOC] Paul-Schneider-Grundschule,[DATE] 25.05.24
0101.jpg,1,1,0,0,2,1,1,0,3,3,[EVENT] Stolpersteinverlegung; [DATE] Freitag; [LOC] Alt-Hohenschönhausen; [LOC] Suermondtstraße 46; [LOC] 13053 Berlin,[DATE] 28. Mai 2021; [TIME] 17 Uhr
0103.jpg,0,0,6,1,1,1,1,0,1,1,[TOPIC] Zeigt Eure Künste!; [DATE] 17.05.2020; [LOC] Mariannenplatz,[TOPIC] RAUS AUS DER DOSE!; [TOPIC] Der Rückzug ins Digitale ist keine Alternative!; [TOPIC] Deine Meinung ist relevant!; [TOPIC] Kunst ist relevant!; [TOPIC] Erhebt Eure Stimme!; [TIME] 14–18 Uhr
0104.jpg,1,1,0,0,1,0,1,0,4,4,[EVENT] WEIHNACHTSBAZAR; [LOC] Kiezklub; [LOC] Rathaus; [LOC] Johannisthal; [LOC] Sterndamm 102,[DATE] 3. Dez.; [TIME] 14–19 Uhr
0106.jpg,1,1,2,0,2,1,1,0,3,1,[EVENT] Gegenprotest; [DATE] jeden Samstag; [LOC] Karl Liebknecht Haus,[TOPIC] KEINE QUERFRONT AUF DEM ROSA-LUXEMBURG-PLATZ!; [TOPIC] Kein Platz für Nazis!; [DATE] 1. Mai; [TIME] 15 Uhr; [LOC] Rosa-Luxemburg Platz 1; [LOC] 1312 Berlin
0108.jpg,2,1,0,0,1,1,0,0,2,1,[EVENT] Konzert; [DATE] 30.06.18; [LOC] VOLKSBÜHNE,[EVENT] Record Release Konzert; [LOC] Rosa- Luxemburg- Platz
0110.jpg,0,0,1,0,1,0,1,0,1,1,[LOC] MARKGRAFENDAMM,[TOPIC] A100 WEGBASSEN!; [DATE] 2.9.; [TIME] 14°°–22°°
0111.jpg,1,1,1,0,2,1,1,1,3,2,[EVENT] Kinodokumentation; [DATE] Mo.; [TIME] 19 Uhr; [LOC] Markgrafendamm 24c; [LOC] 10245 Berlin,[TOPIC] 50 JAHRE RUMBLE IN THE JUNGLE; [DATE] 25. Nov.; [LOC] //:about blank
0112.jpg,3,0,1,0,2,2,2,0,1,1,[DATE] FREITAG; [DATE] 20.09.19; [LOC] BERLIN MITTE,[EVENT] RAVE; [EVENT] AUFSTAND; [EVENT] GLOBAL STRIKE; [TOPIC] NO FUTURE NO DANCEFLOOR; [TIME] 15:00 UHR; [TIME] 12:00 UHR
0113.jpg,1,1,3,0,1,0,1,0,2,1,[EVENT] DEMONSTRATION; [LOC] BERLIN,[TOPIC] 79. JAHRESTAG DES SIEGES ÜBER NAZIDEUTSCHLAND; [TOPIC] NIE WIEDER FASCHISMUS!; [TOPIC] NIE WIEDER KRIEG!; [DATE] 9. MAI; [TIME] 17:30; [LOC] S&U-BHF. FRIEDRICHSTR.
0114.jpg,0,0,2,0,3,1,2,0,3,2,[DATE] 15. JULI; [LOC] THEODOR-HEUSS-PLATZ; [LOC] OLYMPIASTADION,[TOPIC] VOR GERICHT STATT AUF DIE BÜHNE!; [TOPIC] STOMP THE PATRIARCHY; [DATE] 15.07.23; [DATE] SA.; [TIME] 14:30 UHR; [TIME] 16:00 UHR; [LOC] BERLIN
0115.jpg,1,1,1,1,1,1,1,1,1,0,[EVENT] soliparty; [TOPIC] gegen das klima der angst; [DATE] 16.11.2024; [TIME] 20 Uhr,[LOC] ://about blank
0116.jpg,2,2,1,1,2,2,1,0,5,5,[EVENT] Meditation; [EVENT] Rede- & Musikbeiträge; [TOPIC] DEMOKRATIE neu denken!; [DATE] SAMSTAG; [DATE] 08.08.20; [LOC] KARLSRUHE; [LOC] Günther-Klotz Anlage; [LOC] Karlsruhe; [LOC] Karlsruhe; [LOC] Karlsruhe,[TIME] 12:30–18 Uhr
0117.jpg,1,1,2,0,2,1,1,0,1,1,[EVENT] Demo; [DATE] Samstag; [LOC] Potsdamer Platz,[TOPIC] DIE MIETE IST ZU HOCH!; [TOPIC] gegen Verdrängung und #Mietenwahnsinn; [DATE] 01. Juni 2024; [TIME] 14:00 Uhr
0118.jpeg,1,0,1,0,1,1,1,0,3,3,[DATE] Jeden letzten Mittwoch; [LOC] Rote Lilly; [LOC] Emser Str. 114; [LOC] Neukölln,[EVENT] Willkommenscafé; [TOPIC] von Rassismus betroffenen & migrantischen Menschen zum gegenseitigen Kennenlernen; [TIME] 19–21 Uhr
0119.jpeg,1,1,3,2,2,2,1,1,2,1,[EVENT] LAUFDEMONSTRATION; [TOPIC] FÜR PALÄSTINA; [TOPIC] HÄNDE WEG VON UNSEREM LAND!; [DATE] SAMSTAG; [DATE] 01.03.; [TIME] 13 UHR; [LOC] BERLIN,[TOPIC] PALÄSTINA STEHT NICHT ZUM VERKAUF; [LOC] U-BAHN & S-BAHN ZOOLOGISCHER GARTEN
0120.jpg,1,1,1,1,0,0,2,1,4,3,[EVENT] Wahlkampf-Veranstaltung; [TOPIC] DEUTSCHLAND ZUERST!; [TIME] 18 UHR; [LOC] STADTHALLE LEONBERG; [LOC] Römerstraße 110; [LOC] 71229 Leonberg,[TIME] 19 UHR; [LOC] Baden-Württemberg
0121.jpg,1,1,0,0,1,1,0,0,2,2,[EVENT] Foto mit dem Nikolaus; [DATE] 05.12.2024; [LOC] Auguste-Viktoria-Allee 99; [LOC] 13403 Berlin,
0122.jpg,2,0,0,0,2,1,1,1,3,0,[DATE] 2023; [TIME] 20.00 UHR,"[EVENT] OMAS ON STAGE; [EVENT] PERFORMANCES, LIEDER, GEDICHTE...; [DATE] 25. APRIL; [LOC] CAFÉ KORB; [LOC] Brandstätte 9; [LOC] 1010 Wien"
0123.jpg,1,1,1,1,2,2,1,1,2,2,[EVENT] SOLIDARITÄTSDEMO; [TOPIC] FÜR DIE UKRAINE; [DATE] Samstag; [DATE] 5. März 2022; [TIME] 15 bis 17 Uhr; [LOC] Platz der Menschenrechte; [LOC] Wien,
0124.jpg,1,1,2,0,1,1,1,0,2,2,[EVENT] KUNDGEBUNG; [DATE] 19.12.2024; [LOC] Abgeordnetenhaus; [LOC] Berlin,[TOPIC] SAVE BRAIN CITY; [TOPIC] Wissenschaft sichert die Zukunft Berlins; [TIME] 8:30 Uhr
