bild,anzahl_zeilen_gt,anzahl_zeilen_erkannt,Erkennungsrate,CER_durchschnitt,WER_durchschnitt
0086.jpg,6,3,0.5,0.013,0.167
0089.jpeg,11,8,0.7272727272727273,0.157,0.438
0090.jpeg,14,7,0.5,0.048,0.179
0091.jpg,15,3,0.2,0.115,0.333
0093.jpg,17,10,0.5882352941176471,0.01,0.089
0094.jpg,15,10,0.6666666666666666,0.212,0.743
0095.jpg,18,10,0.5555555555555556,0.136,0.408
0096.jpg,6,3,0.5,0.02,0.111
0097.jpg,12,8,0.6666666666666666,0.025,0.167
0098.jpg,11,7,0.6363636363636364,0.118,0.386
0099.jpg,10,7,0.7,0.144,0.571
0100.jpg,5,5,1.0,0.025,0.2
0101.jpg,13,6,0.46153846153846156,0.076,0.123
0103.jpg,12,10,0.8333333333333334,0.117,0.323
0104.jpg,12,11,0.9166666666666666,0.027,0.182
0105.jpg,15,10,0.6666666666666666,0.11,0.262
0106.jpg,12,8,0.6666666666666666,0.066,0.296
0107.jpg,6,3,0.5,0.15,0.667
0108.jpg,9,7,0.7777777777777778,0.014,0.143
0109.jpg,4,0,0.0,,
0110.jpg,5,2,0.4,0.191,1.0
0111.jpg,13,10,0.7692307692307693,0.08,0.187
0112.jpg,8,5,0.625,0.117,0.29
0113.jpg,8,2,0.25,0.129,0.833
0114.jpg,8,1,0.125,0.364,0.714
0115.jpg,5,4,0.8,0.036,0.125
0116.jpg,15,8,0.5333333333333333,0.054,0.198
0117.jpg,6,5,0.8333333333333334,0.044,0.37
0118.jpeg,6,4,0.6666666666666666,0.051,0.417
0119.jpeg,5,4,0.8,0.087,0.083
0120.jpg,13,8,0.6153846153846154,0.09,0.205
0121.jpg,5,5,1.0,0.009,0.0
0122.jpg,26,22,0.8461538461538461,0.064,0.309
0123.jpg,5,5,1.0,0.0,0.0
0124.jpg,8,8,1.0,0.003,0.021
0127.jpeg,8,8,1.0,0.088,0.354
0128.jpg,15,15,1.0,0.02,0.067
0129.jpg,10,6,0.6,0.11,0.642
0130.jpg,10,7,0.7,0.063,0.214
0131.jpeg,12,7,0.5833333333333334,0.107,0.19
0132.jpg,6,5,0.8333333333333334,0.082,0.4
0133.jpg,5,4,0.8,0.126,0.583
0134.jpg,8,8,1.0,0.0,0.0
0135.jpg,9,8,0.8888888888888888,0.101,0.667
0136.jpg,8,7,0.875,0.018,0.129
0137.jpg,8,8,1.0,0.009,0.075
0139.jpg,8,7,0.875,0.0,0.0
0140.jpg,12,11,0.9166666666666666,0.058,0.185
0142.jpeg,12,12,1.0,0.024,0.132
0143.jpg,5,5,1.0,0.102,0.2
0145.jpg,9,6,0.6666666666666666,0.058,0.333
0146.jpg,12,11,0.9166666666666666,0.058,0.167
0147.jpeg,8,7,0.875,0.083,0.333
0148.jpg,12,10,0.8333333333333334,0.007,0.05
0149.jpg,18,13,0.7222222222222222,0.071,0.346
0151.jpg,6,3,0.5,0.083,0.333
0152.jpg,5,5,1.0,0.035,0.117
0153.jpg,21,19,0.9047619047619048,0.03,0.102
0154.jpeg,7,5,0.7142857142857143,0.017,0.1
0155.jpg,5,2,0.4,0.0,0.0
0156.jpeg,10,5,0.5,0.031,0.167
0157.jpg,10,10,1.0,0.035,0.167
0158.jpg,5,1,0.2,0.3,0.5
0160.jpg,6,5,0.8333333333333334,0.028,0.14
0161.jpg,16,9,0.5625,0.0,0.0
0162.jpeg,17,16,0.9411764705882353,0.03,0.13
0163.jpg,8,5,0.625,0.05,0.067
0164.jpg,11,9,0.8181818181818182,0.031,0.167
0165.jpg,13,10,0.7692307692307693,0.089,0.283
0166.jpg,8,8,1.0,0.04,0.25
0167.jpg,11,7,0.6363636363636364,0.031,0.171
0168.jpg,15,15,1.0,0.008,0.028
0169.jpeg,11,10,0.9090909090909091,0.089,0.209
0170.jpeg,9,9,1.0,0.058,0.204
0171.jpg,16,10,0.625,0.021,0.043
0172.jpg,13,10,0.7692307692307693,0.081,0.221
0173.jpg,10,10,1.0,0.014,0.1
0174.jpg,12,11,0.9166666666666666,0.066,0.223
0175.jpg,6,6,1.0,0.0,0.0
0176.jpg,13,12,0.9230769230769231,0.054,0.25
0177.jpg,15,14,0.9333333333333333,0.007,0.095
0178.jpg,14,9,0.6428571428571429,0.048,0.333
0179.jpg,13,13,1.0,0.003,0.077
0180.jpg,12,9,0.75,0.079,0.139
0181.jpg,11,6,0.5454545454545454,0.023,0.167
0182.jpg,9,7,0.7777777777777778,0.106,0.445
0183.jpg,8,4,0.5,0.083,0.292
0184.jpg,15,6,0.4,0.12,0.306
0185.jpg,11,6,0.5454545454545454,0.083,0.25
0186.jpg,17,13,0.7647058823529411,0.02,0.179
0187.jpg,5,2,0.4,0.05,0.125
0190.jpg,7,3,0.42857142857142855,0.033,0.333
0191.jpg,8,1,0.125,0.0,0.0
0191.jpg,11,4,0.36363636363636365,0.061,0.5
0193.jpg,8,6,0.75,0.0,0.0
0194.jpg,8,7,0.875,0.091,0.345
0195.jpg,12,8,0.6666666666666666,0.16,0.562
0196.jpg,11,7,0.6363636363636364,0.159,0.386
0197.jpg,11,8,0.7272727272727273,0.079,0.312
0198.jpg,9,7,0.7777777777777778,0.026,0.129
0199.jpg,8,8,1.0,0.01,0.042
0200.jpg,9,9,1.0,0.115,0.393
0201.jpg,10,5,0.5,0.065,0.044
0202.jpg,19,9,0.47368421052631576,0.105,0.315
0203.jpg,10,3,0.3,0.248,0.667
0204.jpg,26,23,0.8846153846153846,0.027,0.098
0205.jpg,10,6,0.6,0.011,0.105
0206.jpg,10,8,0.8,0.055,0.194
0207.jpg,5,3,0.6,0.131,0.722
0208.jpg,12,7,0.5833333333333334,0.115,0.252
0209.jpg,9,7,0.7777777777777778,0.085,0.235
0210.jpg,8,8,1.0,0.181,0.833
0211.jpg,6,4,0.6666666666666666,0.017,0.083
0212.jpg,9,2,0.2222222222222222,0.041,0.5
0213.jpg,11,11,1.0,0.028,0.239
0214.jpg,11,2,0.18181818181818182,0.182,0.357
0215.jpg,13,11,0.8461538461538461,0.0,0.0
0216.jpg,12,10,0.8333333333333334,0.13,0.475
0217.jpg,10,10,1.0,0.016,0.12
0218.jpg,5,4,0.8,0.028,0.125
0219.jpg,10,9,0.9,0.079,0.454
0220.jpg,10,10,1.0,0.02,0.1
0221.jpg,9,4,0.4444444444444444,0.012,0.062
0222.jpg,16,10,0.625,0.056,0.344
0223.jpg,11,6,0.5454545454545454,0.109,0.472
0224.jpg,11,6,0.5454545454545454,0.095,0.583
0225.jpg,7,6,0.8571428571428571,0.146,0.611
0226.jpg,9,7,0.7777777777777778,0.072,0.405
0227.jpg,8,8,1.0,0.018,0.104
0228.jpg,8,7,0.875,0.118,0.267
0229.jpg,8,5,0.625,0.117,0.4
0230.jpg,7,4,0.5714285714285714,0.111,0.5
0231.jpg,10,3,0.3,0.189,0.667
0232.jpg,12,12,1.0,0.064,0.229
0233.jpg,8,8,1.0,0.032,0.219
0234.jpg,4,3,0.75,0.078,0.083
0235.jpg,8,2,0.25,0.18,0.75
0236.jpg,5,5,1.0,0.058,0.119
0237.jpg,8,7,0.875,0.0,0.0
0238.jpg,13,6,0.46153846153846156,0.264,0.861
0239.jpg,11,2,0.18181818181818182,0.181,1.0
0240.jpg,10,8,0.8,0.028,0.192
0241.jpg,17,13,0.7647058823529411,0.04,0.199
0242.jpg,9,9,1.0,0.088,0.37
