image,text,confidence,bbox_tl,bbox_tr,bbox_br,bbox_bl
0065.jpg,19NOV 23,0.8851,"[542, 18]","[760, 18]","[760, 72]","[542, 72]"
0065.jpg,14--2400,0.4041,"[852, 18]","[1048, 18]","[1048, 72]","[852, 72]"
0065.jpg,Beit el-Mecm,0.8003,"[187, 81]","[249, 81]","[249, 95]","[187, 95]"
0065.jpg,tfe,0.7524,"[19, 537]","[341, 537]","[341, 791]","[19, 791]"
0065.jpg,AINO,0.9038,"[35, 775]","[181, 775]","[181, 839]","[35, 839]"
0065.jpg,BLACKMIRRORPARK,0.6654,"[31, 823]","[629, 823]","[629, 891]","[31, 891]"
0065.jpg,SaM,0.8102,"[911, 829]","[1045, 829]","[1045, 891]","[911, 891]"
0065.jpg,QPETEBBFINNJOHANNSEN RESÖM,0.4783,"[32, 870]","[1014, 870]","[1014, 943]","[32, 943]"
0065.jpg,SEVENSOL,0.9013,"[28, 928]","[328, 928]","[328, 1000]","[28, 1000]"
0065.jpg,NAKO,0.9511,"[855, 929]","[1031, 929]","[1031, 995]","[855, 995]"
0065.jpg,"MARKGRAFENOAMM 24C, 10245 BERUN",0.5885,"[286, 1114]","[1036, 1114]","[1036, 1168]","[286, 1168]"
0065.jpg,ANASTASIA A TIKHOMIROVA,0.9848,"[401, 1273]","[775, 1273]","[775, 1311]","[401, 1311]"
0065.jpg,AND NICHOLAS POTTER,0.626,"[401, 1301]","[729, 1301]","[729, 1337]","[401, 1337]"
0065.jpg,MODERATION,0.871,"[858, 1300]","[1042, 1300]","[1042, 1332]","[858, 1332]"
0065.jpg,HoYA,0.4097,"[43, 51]","[95, 51]","[95, 71]","[43, 71]"
0065.jpg,ofex,0.5727,"[123, 39]","[165, 39]","[165, 57]","[123, 57]"
0065.jpg,tfeN,0.5305,"[15, 532]","[544, 532]","[544, 796]","[15, 796]"
0065.jpg,ANNASCRET,0.466,"[199, 775]","[602, 775]","[602, 839]","[199, 839]"
0065.jpg,MaSCHa,0.5196,"[647, 823]","[893, 823]","[893, 889]","[647, 889]"
0065.jpg,Q1ISSAB2BO-WELLS,0.4146,"[349, 929]","[831, 929]","[831, 995]","[349, 995]"
0065.jpg,ORI RAZAND,0.5269,"[878, 1274]","[1052, 1274]","[1052, 1306]","[878, 1306]"
0065.jpg,DHENGAMEH,0.4648,"[619, 775]","[1025, 775]","[1025, 839]","[619, 839]"
0065.jpg,Juing,0.5134,"[167, 318]","[753, 318]","[753, 647]","[167, 647]"
0065.jpg,gedle,0.8604,"[533, 537]","[1041, 537]","[1041, 793]","[533, 793]"
0065.jpg,ANNASCREIT OHENGAMEH,0.4359,"[199, 773]","[1024, 773]","[1024, 839]","[199, 839]"
0065.jpg,BLACKMIRRORPARKMASCHA,0.7066,"[31, 823]","[892, 823]","[892, 890]","[31, 890]"
0065.jpg,N,0.696,"[373.8710458402999, 584.0335701170385]","[557.7983175402876, 627.1221326989154]","[515.1289541597001, 789.9664298829615]","[331.20168245971246, 746.8778673010846]"
0065.jpg,PANEL TALK,0.6828,"[26, 1282]","[292, 1282]","[292, 1336]","[26, 1336]"
0065.jpg,OJPETEBBFINN JOHANNSEN,0.8082,"[32, 875]","[779, 875]","[779, 942]","[32, 942]"
0065.jpg,RESÖM,0.9483,"[799, 873]","[1013, 873]","[1013, 941]","[799, 941]"
0065.jpg,Mbying,0.4602,"[76.89693781607431, 286.0184407006219]","[760.0424722344787, 378.10823384135983]","[705.1030621839257, 650.9815592993781]","[21.95752776552125, 559.8917661586402]"
0065.jpg,MARKGRAFENDAMM,0.9992,"[285, 1111]","[696, 1111]","[696, 1167]","[285, 1167]"
0065.jpg,Glank,0.8323,"[607, 981]","[948, 981]","[948, 1129]","[607, 1129]"
0065.jpg,"24C, 10245BERUN",0.6068,"[688, 1114]","[1036, 1114]","[1036, 1166]","[688, 1166]"
0065.jpg,{fe Ngedle,0.5007,"[21, 537]","[1043, 537]","[1043, 797]","[21, 797]"
0059.jpg,n,0.5101,"[699, 627]","[763, 627]","[763, 701]","[699, 701]"
0059.jpg,8.,0.9886,"[220, 970]","[268, 970]","[268, 1030]","[220, 1030]"
0059.jpg,Sozialraunorientierte,0.6306,"[392, 1266]","[590, 1266]","[590, 1290]","[392, 1290]"
0059.jpg,HEDY,0.5752,"[743.2070176794539, 211.05263259590419]","[913.963724032959, 244.3412165312429]","[900.7929823205461, 297.9473674040958]","[730.036275967041, 264.6587834687571]"
0059.jpg,come,0.8299,"[389.22712492473465, 653.0299115290769]","[657.9850487824177, 719.4533732418384]","[632.7728750752653, 801.9700884709231]","[364.0149512175823, 735.5466267581616]"
0059.jpg,"MÄRZ,",0.9929,"[271.8836873886971, 953.069499109577]","[407.4728123350372, 974.9649627456583]","[391.1163126113029, 1050.930500890423]","[256.5271876649628, 1029.0350372543417]"
0059.jpg,"19 UHR, KUFA MOABIT_",0.7137,"[389, 975]","[789, 975]","[789, 1059]","[389, 1059]"
0059.jpg,FLINTA,0.9232,"[217, 1061]","[414, 1061]","[414, 1148]","[217, 1148]"
0059.jpg,STAID UP COMEDY,0.4042,"[437, 1067]","[945, 1067]","[945, 1167]","[437, 1167]"
0059.jpg,Gcfordert durch,0.6387,"[817, 1287]","[891, 1287]","[891, 1299]","[817, 1299]"
0059.jpg,K,0.9338,"[699.1011228950099, 55.022457900198795]","[966.837196623285, 150.58454629059682]","[911.8988771049901, 290.9775420998012]","[643.162803376715, 194.41545370940318]"
0059.jpg,comedy,0.7195,"[398.29025392236485, 621.018002270588]","[791.9996140243929, 734.8960424701158]","[753.7097460776351, 845.981997729412]","[360.000385975607, 732.1039575298842]"
0059.jpg,EERLIN,0.5629,"[151, 1253]","[243, 1253]","[243, 1283]","[151, 1283]"
0059.jpg,CYEDY,0.4776,"[663.3829424939203, 181.0272501812993]","[917.9974643961216, 247.81160672779671]","[898.6170575060797, 307.9727498187007]","[644.0025356038784, 241.18839327220329]"
0059.jpg,comea,0.4469,"[387.18741145933154, 657.0300547009762]","[727.9753527453896, 723.2640434019127]","[703.8125885406685, 813.9699452990238]","[363.0246472546104, 747.7359565980873]"
0059.jpg,s,0.4846,"[392, 1266]","[480, 1266]","[480, 1290]","[392, 1290]"
0059.jpg,7,0.5185,"[793, 132]","[942, 132]","[942, 247]","[793, 247]"
0059.jpg,Hotet,0.4504,"[500, 1266]","[588, 1266]","[588, 1292]","[500, 1292]"
0059.jpg,C,0.9701,"[376, 670]","[458, 670]","[458, 748]","[376, 748]"
0105.jpg,FUND,0.9588,"[453, 191]","[621, 191]","[621, 253]","[453, 253]"
0105.jpg,RAISER,0.8898,"[455, 243]","[619, 243]","[619, 281]","[455, 281]"
0105.jpg,22,0.944,"[827, 277]","[859, 277]","[859, 297]","[827, 297]"
0105.jpg,MAY 26,0.9434,"[707, 189]","[865, 189]","[865, 251]","[707, 251]"
0105.jpg,IABOUT BLANK,0.8906,"[715, 241]","[863, 241]","[863, 277]","[715, 277]"
0105.jpg,14,1.0,"[709, 277]","[737, 277]","[737, 297]","[709, 297]"
0105.jpg,YUNGFYA,0.8466,"[223, 907]","[346, 907]","[346, 937]","[223, 937]"
0105.jpg,SAM,0.5046,"[224, 936]","[288, 936]","[288, 960]","[224, 960]"
0105.jpg,GOKU,0.9856,"[300, 934]","[374, 934]","[374, 958]","[300, 958]"
0105.jpg,DJ HENGAMEH,0.9344,"[226, 956]","[404, 956]","[404, 982]","[226, 982]"
0105.jpg,RAFUSH,0.9426,"[223, 1002]","[316, 1002]","[316, 1030]","[223, 1030]"
0105.jpg,B2B ASA 808,0.9613,"[320, 1004]","[454, 1004]","[454, 1028]","[320, 1028]"
0105.jpg,READING BY VANESSA VU,0.7949,"[239, 1024]","[462, 1024]","[462, 1050]","[239, 1050]"
0105.jpg,Arins,0.5075,"[325, 1247]","[365, 1247]","[365, 1261]","[325, 1261]"
0105.jpg,VAL (GR),0.4021,"[379, 1327]","[435, 1327]","[435, 1343]","[379, 1343]"
0105.jpg,PROCEEDS,0.9805,"[227, 1111]","[279, 1111]","[279, 1125]","[227, 1125]"
0105.jpg,TOYSBERLIN DE,0.7274,"[749, 1111]","[851, 1111]","[851, 1125]","[749, 1125]"
0105.jpg,(UA),0.9304,"[377.47000105999683, 1261.1520016959948]","[406.9453729816263, 1264.6740093166807]","[405.52999894000317, 1278.8479983040052]","[376.0546270183737, 1275.3259906833193]"
0105.jpg,N25s 322,0.4376,"[401, 1281]","[461, 1281]","[461, 1297]","[401, 1297]"
0105.jpg,Cadus,0.9155,"[309, 1113]","[347, 1113]","[347, 1125]","[309, 1125]"
0105.jpg,BOROERS,0.9269,"[465, 1111]","[515, 1111]","[515, 1125]","[465, 1125]"
0105.jpg,ithout,0.8946,"[414, 1114]","[462, 1114]","[462, 1122]","[414, 1122]"
0111.jpg,50 JAHRE,0.9645,"[379, 70]","[717, 70]","[717, 155]","[379, 155]"
0111.jpg,RUMBLE IN THE JUNGLE,0.5251,"[136, 155]","[965, 155]","[965, 247]","[136, 247]"
0111.jpg,Podium:,0.9995,"[139, 797]","[281, 797]","[281, 837]","[139, 837]"
0111.jpg,Marcin Krauß,0.7035,"[141, 834]","[365, 834]","[365, 875]","[141, 875]"
0111.jpg,(Sportjournalist taz),0.8905,"[483, 826]","[808, 826]","[808, 879]","[483, 879]"
0111.jpg,Dra Michela Wrong,0.4423,"[141, 873]","[447, 873]","[447, 917]","[141, 917]"
0111.jpg,(britische Journalistin),0.9771,"[483, 864]","[844, 864]","[844, 914]","[483, 914]"
0111.jpg,(Moderation),0.9907,"[485, 906]","[702, 906]","[702, 954]","[485, 954]"
0111.jpg,und anschl.,0.502,"[139, 951]","[330, 951]","[330, 995]","[139, 995]"
0111.jpg,Kinodokumentation When we were Kings (1997),0.832,"[137, 984]","[906, 984]","[906, 1034]","[137, 1034]"
0111.jpg,Helle,0.9854,"[648, 1214]","[761, 1214]","[761, 1277]","[648, 1277]"
0111.jpg,Papke,0.7607,"[750, 1210]","[886, 1210]","[886, 1308]","[750, 1308]"
0111.jpg,WWW helle-panke de,0.589,"[137, 1269]","[483, 1269]","[483, 1313]","[137, 1313]"
0111.jpg,RI,0.5293,"[28, 144]","[114, 144]","[114, 218]","[28, 218]"
0111.jpg,Fabian Kunow,0.9999,"[139, 915]","[377, 915]","[377, 953]","[139, 953]"
0111.jpg,"Mo., 25. Nov  19 Uhr",0.7291,"[140, 1054]","[908, 1054]","[908, 1146]","[140, 1146]"
0111.jpg,"Il:about blank, Markgrafendamm 24c, 10245 Berlin",0.7795,"[136, 1144]","[982, 1144]","[982, 1197]","[136, 1197]"
0111.jpg,Helle Panke,0.9981,"[651, 1215]","[883, 1215]","[883, 1275]","[651, 1275]"
0111.jpg,7,0.8323,"[260, 36]","[308, 36]","[308, 96]","[260, 96]"
0111.jpg,WWW,0.9993,"[140, 1276]","[232, 1276]","[232, 1306]","[140, 1306]"
0111.jpg,helle-panke de,0.6413,"[229, 1266]","[484, 1266]","[484, 1315]","[229, 1315]"
0111.jpg,DL,0.5757,"[496, 0]","[582, 0]","[582, 44]","[496, 44]"
0111.jpg,RI   RUMBLE IN THE JUNGLE,0.4548,"[25, 141]","[966, 141]","[966, 249]","[25, 249]"
0111.jpg,Rosa,0.5644,"[887, 1259]","[935, 1259]","[935, 1273]","[887, 1273]"
0111.jpg,Fabian Kunow on,0.7123,"[138, 914]","[452, 914]","[452, 966]","[138, 966]"
0111.jpg,"Il:about blank,",0.8908,"[137, 1153]","[389, 1153]","[389, 1191]","[137, 1191]"
0111.jpg,"Markgrafendamm 24c, 10245 Berlin",0.808,"[387, 1142]","[980, 1142]","[980, 1198]","[387, 1198]"
0111.jpg,Dr ,0.5014,"[142, 882]","[188, 882]","[188, 912]","[142, 912]"
0111.jpg,Kinodokumentation When we were Kings,0.7696,"[138, 988]","[800, 988]","[800, 1033]","[138, 1033]"
0111.jpg,Mo.,0.6389,"[142, 1061]","[291, 1061]","[291, 1138]","[142, 1138]"
0111.jpg,25,1.0,"[314, 1060]","[418, 1060]","[418, 1134]","[314, 1134]"
0111.jpg,"Il:about blank, Markgrafendamm 24c, 10246",0.4074,"[138, 1143]","[874, 1143]","[874, 1198]","[138, 1198]"
0111.jpg,1,0.8997,"[277, 1107]","[297, 1107]","[297, 1135]","[277, 1135]"
0139.jpg,MEHR POLIZEI?,0.9094,"[95, 193]","[571, 193]","[571, 255]","[95, 255]"
0139.jpg,NICHTS ZU FEIERN,0.8419,"[94, 246]","[564, 246]","[564, 302]","[94, 302]"
0139.jpg,KUNDGEBUNG,0.9995,"[120, 498]","[460, 498]","[460, 546]","[120, 546]"
0139.jpg,15-02 4B 9800 KOTTBUSSER TOR,0.4382,"[120, 560]","[458, 560]","[458, 586]","[120, 586]"
0139.jpg,WIR BLEIBEN DABEI: SOZIALE LÖSUNGEN FÜR SOZIALE PROBLEME!,0.7186,"[101, 307]","[561, 307]","[561, 327]","[101, 327]"
0139.jpg,ZE,0.9472,"[490, 420]","[570, 420]","[570, 496]","[490, 496]"
0139.jpg,WACHE AM KOTTI? NOT WELCOME,0.7809,"[197, 613]","[465, 613]","[465, 633]","[197, 633]"
0139.jpg,BERE,0.4045,"[422, 164]","[490, 164]","[490, 194]","[422, 194]"
0139.jpg,POl,0.4112,"[401, 397]","[467, 397]","[467, 463]","[401, 463]"
0139.jpg,"""OLIZE",0.4066,"[409.1878904958928, 387.04132685974986]","[579.958950698325, 434.1906151832212]","[557.8121095041072, 500.95867314025014]","[387.041049301675, 453.8093848167788]"
0139.jpg,sche Post,0.427,"[609, 255]","[645, 255]","[645, 267]","[609, 267]"
0139.jpg,Zi,0.4591,"[140, 127]","[254, 127]","[254, 187]","[140, 187]"
0139.jpg,15.02,1.0,"[122, 562]","[182, 562]","[182, 586]","[122, 586]"
0139.jpg,AB 9:00 KOTTBUSSER TOR,0.7905,"[188, 560]","[458, 560]","[458, 586]","[188, 586]"
0110.jpg,CLUBS,0.7337,"[225, 297]","[715, 297]","[715, 491]","[225, 491]"
0110.jpg,STADT.,0.6037,"[239, 450]","[684, 450]","[684, 602]","[239, 602]"
0110.jpg,KLIMAKRISE_,0.7702,"[227, 566]","[880, 566]","[880, 743]","[227, 743]"
0110.jpg,A1gg WECBASSEN!,0.415,"[202, 716]","[880, 716]","[880, 868]","[202, 868]"
0110.jpg,29.1f*22,0.459,"[193, 827]","[472, 827]","[472, 906]","[193, 906]"
0110.jpg,MARKCRAFENDAMM,0.4822,"[497, 848]","[825, 848]","[825, 916]","[497, 916]"
0110.jpg,YRL,0.956,"[11.180563968429468, 450.0209973843746]","[208.96666215453573, 554.9676727055257]","[141.81943603157055, 676.9790026156254]","[-54.966662154535726, 572.0323272944743]"
0110.jpg,43,0.4588,"[999, 169]","[1073, 169]","[1073, 233]","[999, 233]"
0110.jpg,4,0.4077,"[0, 931]","[57, 931]","[57, 1031]","[0, 1031]"
0104.jpg,Kiezklub Rathaus Johannisthal Sterndamm 102,0.7696,"[129, 21]","[965, 21]","[965, 63]","[129, 63]"
0104.jpg,WEIHNACHTSBAZAR,0.5946,"[199, 263]","[844, 263]","[844, 389]","[199, 389]"
0104.jpg,Draußen;,0.8876,"[95, 734]","[315, 734]","[315, 785]","[95, 785]"
0104.jpg,Glühwein und Gegrilltes,0.9976,"[90, 774]","[659, 774]","[659, 850]","[90, 850]"
0104.jpg,Feuertonne und Stockbrot,0.8781,"[90, 824]","[700, 824]","[700, 891]","[90, 891]"
0104.jpg,weihnachtliche Livemusik,0.8135,"[92, 867]","[694, 867]","[694, 936]","[92, 936]"
0104.jpg,Stände mit interessanten,0.8852,"[84, 913]","[660, 913]","[660, 981]","[84, 981]"
0104.jpg,Drinnen;,0.9265,"[86, 987]","[298, 987]","[298, 1029]","[86, 1029]"
0104.jpg,Bastelstraße,1.0,"[85, 1030]","[376, 1030]","[376, 1078]","[85, 1078]"
0104.jpg,Kindertheater aus dem Koffer,0.9608,"[81, 1073]","[774, 1073]","[774, 1145]","[81, 1145]"
0104.jpg,Pilzen,0.6303,"[81, 1123]","[231, 1123]","[231, 1165]","[81, 1165]"
0104.jpg,Kiezklub,0.8026,"[329, 1202]","[440, 1202]","[440, 1230]","[329, 1230]"
0104.jpg,Rathaus Johannlsthal,0.8638,"[330, 1228]","[496, 1228]","[496, 1257]","[330, 1257]"
0104.jpg,Dingen,0.6382,"[664.1780050634732, 929.0680303808393]","[834.9586501461023, 952.3582923340339]","[825.8219949365268, 998.9319696191607]","[655.0413498538977, 975.6417076659661]"
0104.jpg,EPACE,0.5388,"[780, 1220]","[939, 1220]","[939, 1284]","[780, 1284]"
0104.jpg,PG,0.4804,"[970, 1224]","[1080, 1224]","[1080, 1326]","[970, 1326]"
0104.jpg,3Dez,0.4539,"[200, 364]","[442, 364]","[442, 467]","[200, 467]"
0104.jpg,14-19 Ubr,0.7855,"[468, 371]","[836, 371]","[836, 474]","[468, 474]"
0104.jpg,Stände mit interessanten Dingen,0.9447,"[82, 911]","[837, 911]","[837, 1000]","[82, 1000]"
0104.jpg,Marktschwarmer,0.4087,"[611, 1228]","[750, 1228]","[750, 1268]","[611, 1268]"
0104.jpg,berli,0.5807,"[868, 1274]","[917, 1274]","[917, 1292]","[868, 1292]"
0104.jpg,"22,14-19Uhr",0.5606,"[320, 368]","[836, 368]","[836, 473]","[320, 473]"
0039.jpeg,4 TAGDER,0.5089,"[66, 606]","[188, 606]","[188, 632]","[66, 632]"
0039.jpeg,DEMO [180325/195,0.4012,"[220, 606]","[468, 606]","[468, 656]","[220, 656]"
0039.jpeg,00,0.8162,"[463, 613]","[487, 613]","[487, 627]","[463, 627]"
0039.jpeg,GEFANGENEN,0.7132,"[60, 646]","[222, 646]","[222, 674]","[60, 674]"
0039.jpeg,UBHETRMSTR,0.511,"[332, 646]","[490, 646]","[490, 672]","[332, 672]"
0039.jpeg,FD,0.5016,"[46.48714644483792, 116.46658075657858]","[157.62168619763662, 97.82907153078574]","[164.51285355516208, 155.5334192434214]","[53.37831380236339, 175.17092846921426]"
0039.jpeg,EERLN,0.6214,"[229, 655]","[321, 655]","[321, 673]","[229, 673]"
0039.jpeg,4,0.8527,"[52, 522]","[200, 522]","[200, 594]","[52, 594]"
0058.jpg,open,0.6496,"[54, 36]","[265, 36]","[265, 122]","[54, 122]"
0058.jpg,air,0.9654,"[892, 34]","[1000, 34]","[1000, 106]","[892, 106]"
0058.jpg,DIFFUS,0.5455,"[42, 1014]","[144, 1014]","[144, 1046]","[42, 1046]"
0058.jpg,FLUX GM,0.564,"[325, 1011]","[447, 1011]","[447, 1049]","[325, 1049]"
0058.jpg,L@FT,0.4461,"[478, 1018]","[536, 1018]","[536, 1044]","[478, 1044]"
0058.jpg,18/08/23,0.4646,"[394, 13]","[700, 13]","[700, 124]","[394, 124]"
0058.jpg,:Iloboutblank,0.4464,"[530, 451]","[1026, 451]","[1026, 549]","[530, 549]"
0058.jpg,collectif,0.6859,"[955, 1007]","[1035, 1007]","[1035, 1021]","[955, 1021]"
0058.jpg,FLUTWELLE,0.9056,"[160, 1018]","[308, 1018]","[308, 1042]","[160, 1042]"
0058.jpg,PIGKXZINE,0.5858,"[613, 1009]","[723, 1009]","[723, 1051]","[613, 1051]"
0058.jpg,UNTOLDENCY,0.9882,"[738, 1016]","[920, 1016]","[920, 1046]","[738, 1046]"
0064.jpg,Samstag; 1.Juli 2023,0.5461,"[37, 492]","[738, 492]","[738, 618]","[37, 618]"
0064.jpg,von 14 = 18 Uhr,0.5447,"[732, 538]","[1014, 538]","[1014, 590]","[732, 590]"
0064.jpg,Eröffnung durch Frau Weingart,0.6865,"[40, 650]","[456, 650]","[456, 706]","[40, 706]"
0064.jpg,Dirk Jüttner,0.8616,"[531, 655]","[699, 655]","[699, 695]","[531, 695]"
0064.jpg,Stellvertretende Bezirksbürgermeisterin,0.8571,"[43, 695]","[459, 695]","[459, 738]","[43, 738]"
0064.jpg,erfreut uns als Elvis Presley,0.9925,"[529, 696]","[885, 696]","[885, 749]","[529, 749]"
0064.jpg,"und Leiterin der Abteilung Soziales, Arbeit",0.8452,"[42, 727]","[480, 727]","[480, 776]","[42, 776]"
0064.jpg,und Teilhabe,0.9998,"[41, 773]","[183, 773]","[183, 810]","[41, 810]"
0064.jpg,Kinder- und Erwachsenen-Tanzteam,0.9232,"[531, 753]","[1019, 753]","[1019, 797]","[531, 797]"
0064.jpg,des PSV Olympia Berlin,0.9918,"[530, 796]","[812, 796]","[812, 848]","[530, 848]"
0064.jpg,Es spielt die Combo des,0.9772,"[40, 826]","[358, 826]","[358, 874]","[40, 874]"
0064.jpg,Landespolizeiorchesters,0.8639,"[37, 864]","[372, 864]","[372, 915]","[37, 915]"
0064.jpg,"Belly Dance mit wSOURAIA HAGIR""",0.6232,"[530, 860]","[990, 860]","[990, 910]","[530, 910]"
0064.jpg,Brandenburg,0.9999,"[35, 905]","[227, 905]","[227, 958]","[35, 958]"
0064.jpg,Eine kostenlose Fahrradkennzeichnung durch den,0.8583,"[531, 928]","[1005, 928]","[1005, 971]","[531, 971]"
0064.jpg,Die fröhlichen Herbstlerchen,0.9777,"[35, 961]","[429, 961]","[429, 1003]","[35, 1003]"
0064.jpg,"Polzeiabschnict 65, außerdem gibt es noch Mit=",0.5144,"[531, 963]","[985, 963]","[985, 1005]","[531, 1005]"
0064.jpg,erfreuen uns mit ihrem Vortrag,0.9104,"[32, 1001]","[366, 1001]","[366, 1049]","[32, 1049]"
0064.jpg,mach-Aktionen für Kinder; Seifenblasen mit Gello;,0.4124,"[531, 993]","[1023, 993]","[1023, 1035]","[531, 1035]"
0064.jpg,Holzarbeiten; Schwerter basteln mic Marlies; das,0.5481,"[530, 1025]","[1009, 1025]","[1009, 1069]","[530, 1069]"
0064.jpg,Kreistanzgruppe unter,0.9303,"[27, 1050]","[338, 1050]","[338, 1105]","[27, 1105]"
0064.jpg,von,0.9913,"[429, 1059]","[483, 1059]","[483, 1095]","[429, 1095]"
0064.jpg,Kinderschminken mit Farina @nd Jessica; Malen,0.6542,"[529, 1061]","[1011, 1061]","[1011, 1101]","[529, 1101]"
0064.jpg,Monika Kemmnitz,0.9179,"[29, 1099]","[259, 1099]","[259, 1141]","[29, 1141]"
0064.jpg,und Basteln mit Michaela und vieles mehr _,0.5912,"[531, 1097]","[953, 1097]","[953, 1133]","[531, 1133]"
0064.jpg,Unsere Ehrenamtlichen des KIEZKLUB's und das,0.8311,"[529, 1137]","[989, 1137]","[989, 1175]","[529, 1175]"
0064.jpg,Seniorenpflegeheim DOMIZIL verwöhnen sie mit,0.612,"[528, 1170]","[1003, 1170]","[1003, 1213]","[528, 1213]"
0064.jpg,ist gesorgt,0.9791,"[527, 1241]","[647, 1241]","[647, 1281]","[527, 1281]"
0064.jpg,Leitung,0.9995,"[330.9594617776757, 1047.109470355076]","[436.82489848559493, 1059.688377110712]","[430.0405382223243, 1103.890529644924]","[324.17510151440507, 1090.311622889288]"
0064.jpg,KIEZFEST,0.9906,"[498, 188]","[1018, 188]","[1018, 338]","[498, 338]"
0064.jpg,KIEZKLUB Treptow-Kolleg,0.5575,"[40, 330]","[1020, 330]","[1020, 476]","[40, 476]"
0064.jpg,"Samstag, 1",0.7897,"[37, 493]","[424, 493]","[424, 618]","[37, 618]"
0064.jpg,0,0.9259,"[413, 563]","[431, 563]","[431, 585]","[413, 585]"
0064.jpg,Juli 2023,0.9582,"[433, 509]","[733, 509]","[733, 595]","[433, 595]"
0064.jpg,Kreistanzgruppe unter Leitung von,0.9959,"[28, 1050]","[482, 1050]","[482, 1105]","[28, 1105]"
0064.jpg,selbstgebackenem Kuchen. Für Ihr leibliches Wohl,0.6921,"[529, 1206]","[1015, 1206]","[1015, 1247]","[529, 1247]"
0064.jpg,K / E Z K L U B,0.4111,"[264, 1276]","[510, 1276]","[510, 1318]","[264, 1318]"
0064.jpg,von 14 -,0.7024,"[732, 542]","[862, 542]","[862, 590]","[732, 590]"
0064.jpg,18 Uhr,0.9992,"[886, 540]","[1014, 540]","[1014, 588]","[886, 588]"
0064.jpg,Tdedtow,0.4056,"[268, 1328]","[398, 1328]","[398, 1350]","[268, 1350]"
0064.jpg,vQi,0.4444,"[404, 1328]","[456, 1328]","[456, 1350]","[404, 1350]"
0064.jpg,erfreut uns als Elvis,0.8408,"[531, 701]","[777, 701]","[777, 741]","[531, 741]"
0064.jpg,Presley,1.0,"[769, 694]","[884, 694]","[884, 749]","[769, 749]"
0070.jpg,Ziegrastr 11,0.9536,"[120, 34]","[401, 34]","[401, 98]","[120, 98]"
0070.jpg,22 /03,0.9792,"[795, 33]","[965, 33]","[965, 93]","[795, 93]"
0070.jpg,20.00,0.8415,"[804, 106]","[954, 106]","[954, 156]","[804, 156]"
0070.jpg,SLAYSTANS,0.6711,"[207, 305]","[876, 305]","[876, 377]","[207, 377]"
0070.jpg,Josef Tumari,0.9974,"[120, 996]","[438, 996]","[438, 1053]","[120, 1053]"
0070.jpg,Kavkaz Widow,0.5621,"[123, 1072]","[482, 1072]","[482, 1126]","[123, 1126]"
0070.jpg,Sabine,0.6772,"[124, 1146]","[304, 1146]","[304, 1200]","[124, 1200]"
0070.jpg,Nisan,0.9999,"[124, 1224]","[268, 1224]","[268, 1276]","[124, 1276]"
0070.jpg,Slaystans Allstars,0.9992,"[119, 1287]","[570, 1287]","[570, 1350]","[119, 1350]"
0070.jpg,99,0.5047,"[623.702733451486, 1208.0216400708916]","[912.4902537358356, 1004.3940656833331]","[1069.297266548514, 1235.9783599291084]","[781.5097462641644, 1440.605934316667]"
0070.jpg,6,0.8766,"[162, 444]","[382, 444]","[382, 686]","[162, 686]"
0070.jpg,4,0.5741,"[211.06553069276782, 588.0132334547043]","[475.8493213020257, 776.8500650806277]","[308.9344693072322, 1006.9867665452957]","[45.15067869797431, 818.1499349193723]"
